Sleep_Stage,MeanP_Delta_F4,MedianF_Delta_F4,MeanF_Delta_F4,Spectral Edge_Delta_F4,PeakF_Delta_F4
NREM,0.00659,1.37366,5.36976,2.99707,0.99902
NREM,0.0057,1.24878,5.36976,2.99707,0.74927
NREM,0.34178,0.37463,2.99707,0.87415,0.37463
NREM,0.00591,1.24878,5.24488,2.99707,1.24878
NREM,0.00684,1.49854,5.12,2.8722,1.62341
NREM,0.00646,1.24878,5.24488,3.24683,1.24878
NREM,0.00604,1.49854,5.36976,2.99707,1.24878
NREM,0.00552,1.37366,5.74439,3.37171,0.87415
NREM,0.00723,1.37366,4.99512,2.62244,1.1239
NREM,0.00594,1.62341,5.24488,3.12195,1.99805
NREM,0.00417,1.24878,5.74439,3.49659,1.1239
NREM,0.00692,1.37366,5.49463,3.12195,0.74927
NREM,0.00967,0.87415,5.12,2.37268,0.87415
NREM,0.00709,1.37366,4.99512,2.99707,1.49854
NREM,0.0073,1.24878,5.12,3.12195,1.24878
NREM,0.00447,1.62341,6.2439,3.24683,0.49951
NREM,0.00508,1.37366,5.61951,3.24683,0.62439
NREM,0.00562,1.49854,5.61951,3.37171,0.74927
NREM,0.00599,1.24878,6.2439,3.24683,0.49951
NREM,0.00757,1.49854,5.12,2.8722,0.62439
NREM,0.00526,1.24878,5.61951,3.24683,1.24878
NREM,0.00677,1.24878,5.49463,2.8722,1.24878
NREM,0.00589,1.24878,5.49463,2.99707,1.24878
NREM,0.00598,0.87415,5.86927,2.74732,0.87415
NREM,0.03659,0.74927,3.62146,1.49854,0.74927
NREM,0.00651,0.99902,5.24488,2.99707,0.87415
NREM,0.00725,1.24878,5.12,2.62244,0.99902
NREM,0.00522,1.62341,5.24488,3.12195,0.62439
NREM,0.00287,1.49854,6.36878,3.49659,1.24878
NREM,0.00518,1.49854,5.36976,2.99707,1.49854
NREM,0.00689,1.24878,5.24488,2.62244,1.1239
NREM,0.00733,1.24878,5.12,2.99707,1.1239
NREM,0.00513,1.37366,5.49463,2.99707,1.24878
NREM,0.00612,1.24878,5.12,2.8722,1.24878
NREM,0.00537,1.37366,5.86927,3.62146,0.74927
NREM,0.06918,0.37463,3.24683,0.49951,0.37463
NREM,0.01124,0.37463,5.24488,1.49854,0.37463
NREM,0.00665,0.49951,5.74439,2.2478,0.37463
NREM,0.01193,0.49951,4.99512,1.87317,0.49951
NREM,0.00354,0.74927,6.74341,3.49659,0.24976
NREM,0.00486,0.99902,5.49463,3.12195,0.49951
NREM,0.0046,0.99902,5.12,2.74732,0.49951
NREM,0.00346,1.37366,5.61951,3.37171,0.49951
REM,0.00288,0.74927,6.49366,2.99707,0.62439
REM,0.00342,0.87415,5.99415,2.99707,0.87415
REM,0.00368,0.99902,5.74439,2.8722,0.49951
REM,0.00396,0.62439,6.11902,2.62244,0.49951
REM,0.00873,0.62439,4.74537,1.99805,0.62439
REM,0.00464,0.62439,5.74439,2.37268,0.49951
REM,0.00342,0.99902,5.61951,2.99707,0.49951
REM,0.00611,0.74927,5.49463,2.2478,0.74927
REM,0.00603,0.87415,4.99512,2.37268,0.62439
REM,0.00792,0.49951,5.12,1.99805,0.37463
REM,0.00367,0.62439,5.86927,2.8722,0.49951
REM,0.00382,0.87415,5.86927,2.8722,0.49951
REM,0.0061,0.74927,5.36976,2.74732,0.49951
REM,0.00825,0.62439,5.12,2.12293,0.37463
REM,0.02473,0.74927,4.62049,1.37366,0.74927
REM,0.00446,0.99902,5.74439,2.62244,0.37463
REM,0.00227,0.99902,6.61854,3.37171,0.37463
REM,0.00324,1.24878,5.61951,3.24683,0.87415
REM,0.00204,1.1239,6.61854,3.37171,0.62439
NREM,0.00332,0.99902,5.99415,3.24683,0.74927
REM,0.01231,0.37463,4.99512,1.49854,0.37463
REM,0.00285,1.1239,5.74439,2.99707,1.24878
REM,0.00359,0.99902,5.74439,3.24683,0.49951
REM,0.00308,0.99902,6.11902,3.37171,0.74927
REM,0.01288,0.49951,5.24488,1.49854,0.37463
REM,0.00318,1.24878,6.2439,3.24683,1.24878
REM,0.00335,0.99902,5.86927,3.12195,0.37463
REM,0.0143,0.62439,4.87024,1.49854,0.74927
REM,0.00308,1.24878,5.86927,3.24683,0.49951
REM,0.01433,0.49951,4.99512,1.24878,0.49951
REM,0.0097,0.74927,5.24488,1.99805,0.74927
REM,0.00406,0.99902,5.74439,3.12195,0.74927
REM,0.00277,1.1239,6.36878,2.99707,0.62439
REM,0.00346,0.99902,5.74439,3.12195,0.62439
REM,0.0054,0.99902,5.86927,2.8722,0.74927
REM,0.01,0.62439,4.99512,2.12293,0.49951
REM,0.01188,0.49951,4.99512,1.37366,0.49951
REM,0.0031,0.99902,5.99415,2.99707,0.49951
REM,0.02896,0.37463,4.24585,0.87415,0.37463
REM,0.00455,0.99902,5.99415,2.99707,0.49951
REM,0.00459,0.74927,5.74439,2.8722,0.74927
REM,0.00381,0.74927,6.2439,3.24683,0.49951
REM,0.00382,0.87415,5.99415,3.24683,0.49951
REM,0.00558,0.49951,5.86927,2.62244,0.37463
REM,0.00301,1.1239,6.11902,3.24683,0.62439
REM,0.00574,0.74927,5.49463,2.37268,0.49951
REM,0.00334,1.24878,5.99415,3.49659,0.62439
REM,0.01321,0.49951,5.24488,1.62341,0.49951
REM,0.00408,0.99902,6.2439,3.24683,0.49951
REM,0.00303,1.1239,6.2439,3.62146,0.37463
REM,0.00486,0.74927,5.86927,2.74732,0.24976
REM,0.01023,0.49951,5.36976,1.87317,0.37463
REM,0.00292,1.24878,6.2439,3.37171,1.24878
REM,0.00311,0.99902,6.11902,2.99707,0.62439
REM,0.00296,1.24878,5.86927,3.24683,0.62439
REM,0.00265,1.1239,5.99415,3.37171,1.1239
REM,0.00339,0.99902,6.2439,2.99707,0.62439
NREM,0.00258,1.37366,5.99415,3.49659,0.74927
NREM,0.00337,1.49854,5.61951,3.37171,0.49951
REM,0.00496,1.1239,5.36976,2.8722,0.37463
REM,0.00313,1.1239,6.2439,2.99707,0.49951
NREM,0.00333,0.99902,6.2439,2.8722,0.49951
NREM,0.00263,1.24878,6.11902,3.49659,0.62439
NREM,0.0048,1.1239,5.74439,2.99707,0.74927
NREM,0.0044,1.24878,5.61951,2.99707,0.99902
NREM,0.00405,1.37366,5.61951,3.37171,0.62439
NREM,0.00249,1.62341,6.11902,3.74634,0.74927
NREM,0.0028,1.24878,5.86927,3.24683,0.49951
NREM,0.00734,0.49951,5.61951,2.49756,0.37463
NREM,0.00302,1.24878,6.11902,3.12195,0.49951
NREM,0.00498,1.37366,5.86927,3.37171,1.24878
NREM,0.0038,1.1239,6.36878,3.12195,0.49951
NREM,0.00381,1.24878,6.49366,3.24683,1.24878
REM,0.01048,0.37463,5.49463,2.12293,0.37463
REM,0.01313,0.49951,4.74537,1.62341,0.24976
REM,0.00332,1.1239,5.61951,3.12195,0.49951
REM,0.01515,0.49951,4.62049,1.37366,0.49951
REM,0.00394,0.99902,6.2439,3.12195,0.74927
REM,0.0035,0.87415,5.74439,3.24683,0.37463
REM,0.00314,0.99902,6.36878,3.24683,0.74927
REM,0.00283,1.24878,6.11902,3.49659,0.49951
REM,0.00341,0.99902,5.86927,3.37171,0.87415
REM,0.00335,1.62341,6.11902,3.37171,0.74927
REM,0.00683,0.62439,5.49463,2.62244,0.49951
REM,0.00902,0.62439,5.12,1.87317,0.49951
REM,0.0046,0.87415,5.86927,2.99707,0.49951
REM,0.00328,1.24878,6.2439,3.24683,0.62439
REM,0.00306,1.24878,6.86829,3.37171,0.62439
REM,0.00356,1.37366,6.11902,3.24683,1.1239
REM,0.00582,1.37366,5.36976,3.12195,1.24878
REM,0.00373,1.49854,6.36878,3.12195,0.62439
REM,0.00514,1.62341,5.12,3.24683,0.74927
REM,0.00521,1.24878,5.74439,2.99707,1.37366
REM,0.00724,0.62439,5.49463,2.37268,0.62439
REM,0.00646,0.62439,5.61951,2.49756,0.37463
REM,0.00372,1.1239,5.86927,3.12195,0.62439
NREM,0.00274,1.24878,6.2439,3.37171,0.74927
NREM,0.00316,1.24878,5.99415,3.24683,1.24878
NREM,0.00336,1.1239,5.99415,3.49659,0.37463
NREM,0.00387,1.37366,5.99415,3.49659,0.87415
NREM,0.00663,1.1239,5.49463,2.74732,0.87415
NREM,0.00431,1.24878,5.61951,3.49659,1.24878
NREM,0.00462,1.24878,5.86927,3.24683,1.24878
NREM,0.0067,1.37366,5.61951,2.99707,0.62439
NREM,0.0035,1.1239,6.2439,3.37171,1.24878
NREM,0.00472,1.24878,6.61854,3.37171,0.99902
NREM,0.0069,1.24878,5.36976,3.24683,1.24878
NREM,0.00463,1.24878,6.2439,3.37171,0.74927
NREM,0.00569,1.1239,5.86927,3.24683,0.62439
NREM,0.0058,1.1239,5.86927,3.24683,0.74927
NREM,0.00512,1.37366,5.74439,3.24683,0.74927
NREM,0.0055,0.87415,6.36878,3.12195,0.37463
NREM,0.01069,1.24878,5.24488,3.12195,0.62439
NREM,0.00568,1.24878,5.61951,3.12195,0.74927
NREM,0.00505,1.37366,5.99415,3.49659,0.99902
NREM,0.00652,1.24878,5.99415,3.37171,0.99902
NREM,0.0066,1.24878,5.86927,3.24683,0.87415
NREM,0.00661,1.49854,5.49463,2.99707,1.74829
NREM,0.00954,1.1239,5.12,2.8722,0.49951
NREM,0.00677,1.24878,5.61951,3.12195,0.87415
NREM,0.00867,1.37366,4.99512,2.99707,0.62439
NREM,0.00752,1.24878,5.36976,3.37171,0.87415
NREM,0.00631,1.1239,5.61951,3.24683,0.99902
NREM,0.00538,1.37366,5.86927,3.37171,1.24878
NREM,0.00668,1.24878,5.86927,3.49659,0.87415
NREM,0.01203,1.1239,4.87024,2.8722,0.99902
NREM,0.00684,1.37366,5.86927,3.37171,0.74927
NREM,0.01017,1.24878,5.36976,2.99707,0.99902
NREM,0.0089,1.24878,5.74439,2.8722,0.74927
NREM,0.00822,1.1239,5.74439,3.12195,0.49951
NREM,0.0087,0.99902,5.24488,2.8722,0.74927
NREM,0.00975,1.1239,5.49463,2.99707,0.49951
NREM,0.01009,1.1239,5.36976,2.8722,0.62439
NREM,0.00825,0.87415,5.24488,2.99707,0.74927
NREM,0.00956,1.1239,5.49463,2.74732,0.62439
NREM,0.01215,1.1239,4.87024,2.74732,0.74927
NREM,0.01069,1.24878,5.12,2.8722,1.24878
NREM,0.01019,0.99902,5.36976,2.8722,0.87415
NREM,0.01128,0.99902,5.24488,2.74732,0.62439
NREM,0.01493,0.87415,4.99512,2.62244,0.49951
NREM,1.04302,0.49951,1.87317,0.74927,0.49951
NREM,0.73718,0.37463,1.74829,0.62439,0.49951
NREM,0.97184,0.37463,1.62341,0.62439,0.49951
NREM,0.53095,0.37463,1.62341,0.74927,0.49951
NREM,0.57535,0.49951,1.62341,0.87415,0.49951
NREM,0.09611,0.37463,3.62146,0.74927,0.37463
NREM,0.0825,0.37463,3.74634,0.74927,0.37463
NREM,0.01864,0.37463,5.12,1.49854,0.37463
NREM,0.00938,0.62439,5.49463,2.74732,0.37463
NREM,0.00445,1.37366,6.2439,3.24683,1.24878
NREM,0.00607,0.99902,6.11902,3.12195,0.87415
NREM,0.00626,1.1239,5.49463,3.12195,0.49951
NREM,0.00447,1.49854,5.86927,3.62146,1.62341
NREM,0.00605,1.24878,5.99415,3.12195,1.24878
NREM,0.0057,1.49854,5.99415,3.62146,0.87415
NREM,0.063,0.49951,4.12098,0.87415,0.49951
NREM,0.02509,0.37463,4.37073,1.37366,0.24976
NREM,0.00624,1.37366,5.86927,3.24683,0.99902
NREM,0.00511,1.24878,6.2439,3.24683,0.87415
NREM,0.0056,1.49854,6.2439,3.49659,0.62439
NREM,0.0039,1.62341,6.36878,3.62146,0.49951
NREM,0.00705,0.99902,5.99415,2.74732,0.74927
NREM,0.00472,1.74829,5.86927,3.12195,2.37268
NREM,0.00445,1.74829,5.99415,3.62146,0.49951
NREM,0.00615,1.49854,5.74439,3.49659,1.49854
NREM,0.00637,1.37366,5.36976,3.37171,1.24878
NREM,0.00855,1.1239,5.36976,2.8722,0.74927
NREM,0.00683,1.37366,5.86927,2.99707,0.87415
NREM,0.00539,1.62341,6.11902,3.37171,0.74927
NREM,0.00564,1.49854,5.86927,3.37171,1.99805
NREM,0.00682,1.24878,5.36976,2.99707,1.1239
NREM,0.00667,1.24878,5.61951,2.99707,1.24878
NREM,0.006,1.24878,6.36878,2.99707,1.24878
NREM,0.00693,1.24878,5.49463,3.12195,0.87415
NREM,0.00379,1.37366,6.11902,3.62146,0.74927
NREM,0.00803,1.1239,5.61951,2.8722,1.24878
NREM,0.0075,1.37366,5.86927,3.12195,0.62439
NREM,0.00598,1.24878,5.99415,3.49659,1.37366
NREM,0.00698,1.24878,5.61951,3.12195,0.87415
NREM,0.00719,1.37366,5.86927,3.37171,0.87415
NREM,0.11989,0.62439,3.49659,1.24878,0.49951
NREM,0.00424,1.49854,6.2439,3.62146,0.49951
NREM,0.00721,1.24878,5.74439,3.24683,0.74927
NREM,0.00477,1.37366,6.2439,3.62146,0.62439
NREM,0.00389,1.37366,6.49366,3.62146,0.74927
NREM,0.00482,1.49854,5.99415,2.99707,0.99902
NREM,0.00616,1.37366,5.99415,3.37171,1.49854
NREM,0.00482,1.24878,6.2439,3.62146,0.99902
NREM,0.00643,1.24878,6.11902,3.12195,1.1239
NREM,0.00651,1.37366,5.86927,3.12195,0.74927
NREM,0.00633,1.1239,5.99415,3.12195,0.99902
NREM,0.00747,1.37366,5.49463,3.24683,0.99902
NREM,0.00784,1.24878,5.74439,3.24683,0.74927
NREM,0.00622,1.37366,5.74439,2.8722,0.87415
NREM,0.00789,1.24878,5.49463,3.24683,0.62439
NREM,0.00605,1.24878,6.11902,3.37171,0.99902
NREM,0.0064,1.1239,5.99415,3.12195,0.99902
NREM,0.00432,1.87317,6.49366,3.74634,0.74927
NREM,0.0061,1.62341,5.74439,3.24683,0.74927
NREM,0.00596,1.37366,5.99415,3.37171,1.1239
NREM,0.00667,1.37366,5.86927,3.37171,0.87415
NREM,0.00819,1.24878,5.74439,3.37171,0.49951
NREM,0.00619,1.49854,5.86927,3.49659,1.24878
NREM,0.00627,1.24878,5.99415,3.24683,0.99902
NREM,0.00709,1.49854,5.74439,3.37171,0.74927
NREM,0.00598,1.49854,5.86927,3.37171,1.1239
NREM,0.00755,1.49854,5.99415,3.37171,0.49951
NREM,0.00549,1.49854,6.11902,3.62146,0.87415
NREM,0.00785,1.24878,6.36878,2.99707,1.1239
NREM,0.00593,1.24878,6.61854,3.37171,0.74927
NREM,0.00835,1.24878,6.11902,3.37171,1.24878
NREM,0.00519,1.62341,6.74341,3.62146,1.99805
NREM,0.00777,1.37366,6.11902,3.24683,0.99902
NREM,0.00666,1.1239,7.74244,3.49659,0.62439
NREM,0.00604,1.87317,6.99317,3.37171,2.49756
NREM,0.00756,1.49854,6.2439,3.37171,1.24878
NREM,0.0087,1.62341,6.11902,3.12195,1.37366
NREM,0.0078,1.37366,6.74341,3.24683,1.49854
NREM,0.00864,1.62341,5.86927,3.24683,0.62439
NREM,0.00577,1.62341,7.11805,3.74634,1.49854
NREM,0.00732,1.24878,6.74341,3.24683,1.37366
NREM,0.00787,1.49854,6.61854,3.49659,0.87415
NREM,0.00484,1.37366,8.11707,3.87122,0.87415
NREM,0.00545,1.62341,7.3678,3.62146,1.24878
NREM,0.00538,1.49854,7.49268,3.49659,1.24878
NREM,0.00971,1.37366,5.86927,3.37171,0.87415
NREM,0.00508,1.62341,7.24293,3.49659,0.74927
NREM,0.00367,1.1239,6.61854,3.24683,0.49951
NREM,0.00621,1.24878,5.99415,2.99707,1.24878
NREM,0.00528,1.37366,6.36878,3.62146,0.49951
NREM,0.00378,1.24878,6.99317,3.87122,0.62439
REM,0.0029,1.49854,6.99317,3.9961,0.49951
REM,0.0032,1.37366,6.99317,3.87122,0.87415
REM,0.00287,1.49854,7.49268,3.87122,0.49951
NREM,0.00325,1.1239,7.86732,3.87122,0.99902
NREM,0.00333,1.24878,7.24293,3.74634,0.62439
NREM,0.00316,1.24878,7.61756,3.74634,0.49951
NREM,0.00603,6.11902,6.36878,6.2439,6.2439
NREM,0.00641,6.11902,6.2439,6.2439,6.11902
NREM,0.00671,5.99415,6.2439,6.2439,6.11902
NREM,0.01437,5.36976,6.36878,6.2439,6.11902
NREM,0.00631,6.11902,6.2439,6.2439,6.2439
NREM,0.00638,6.11902,6.2439,6.2439,6.11902
NREM,0.00691,5.99415,6.11902,6.11902,6.11902
NREM,0.00706,5.99415,6.11902,6.11902,5.99415
NREM,0.00689,5.99415,6.11902,6.11902,6.11902
NREM,0.00696,5.99415,6.11902,6.11902,5.99415
NREM,0.00666,5.99415,6.2439,6.11902,6.11902
NREM,0.00677,5.99415,6.2439,6.11902,6.11902
NREM,0.00723,5.86927,5.99415,5.99415,5.99415
NREM,0.00701,5.86927,6.11902,5.99415,5.99415
NREM,0.00726,5.86927,5.99415,5.99415,5.86927
NREM,0.00725,5.86927,5.99415,5.99415,5.86927
NREM,0.0072,5.86927,5.99415,5.99415,5.86927
NREM,0.0142,5.74439,6.11902,5.99415,5.99415
NREM,0.00709,5.86927,6.11902,5.99415,5.99415
NREM,0.00917,5.86927,6.11902,5.99415,5.99415
NREM,0.00696,5.99415,6.11902,6.11902,5.99415
NREM,0.00864,5.99415,6.11902,6.11902,6.11902
NREM,0.0069,5.99415,6.11902,6.11902,5.99415
NREM,0.00877,5.86927,5.99415,5.99415,5.99415
NREM,0.00701,5.86927,6.11902,5.99415,5.99415
NREM,0.00733,5.86927,5.99415,5.99415,5.86927
NREM,0.00794,5.86927,5.99415,5.99415,5.86927
NREM,0.00745,5.86927,5.99415,5.99415,5.86927
NREM,0.0072,5.86927,5.99415,5.99415,5.86927
NREM,0.00728,5.86927,5.99415,5.99415,5.86927
NREM,0.0082,5.86927,5.99415,5.99415,5.99415
NREM,0.00726,5.86927,5.99415,5.99415,5.86927
NREM,0.00736,5.86927,5.99415,5.99415,5.86927
NREM,0.00898,5.74439,5.99415,5.86927,5.86927
NREM,0.00743,5.74439,5.99415,5.86927,5.86927
NREM,0.00734,5.74439,5.99415,5.86927,5.86927
NREM,0.00755,5.74439,5.86927,5.86927,5.74439
NREM,0.0077,5.61951,5.86927,5.86927,5.74439
NREM,0.00782,5.74439,5.86927,5.86927,5.74439
NREM,0.0076,5.74439,5.86927,5.86927,5.86927
NREM,0.0076,5.74439,5.86927,5.86927,5.74439
NREM,0.0078,5.61951,5.86927,5.74439,5.74439
NREM,0.00785,5.61951,5.74439,5.74439,5.74439
NREM,0.00812,5.61951,5.74439,5.74439,5.61951
NREM,0.01847,2.62244,5.74439,5.61951,5.61951
NREM,0.00802,5.61951,5.74439,5.74439,5.74439
NREM,0.00792,5.61951,5.86927,5.74439,5.74439
NREM,0.00781,5.74439,5.86927,5.86927,5.74439
NREM,0.00746,5.74439,5.86927,5.86927,5.74439
NREM,0.00774,5.74439,5.99415,5.86927,5.86927
NREM,0.00737,5.74439,5.99415,5.86927,5.86927
NREM,0.00748,5.74439,5.86927,5.86927,5.86927
NREM,0.00721,5.74439,5.99415,5.99415,5.86927
NREM,0.00698,5.86927,5.99415,5.99415,5.86927
NREM,0.00693,5.86927,6.11902,5.99415,5.99415
NREM,0.00681,5.86927,5.99415,5.99415,5.99415
NREM,0.00678,5.86927,6.11902,5.99415,5.99415
NREM,0.00594,6.11902,6.2439,6.2439,6.2439
NREM,0.00554,6.2439,6.36878,6.36878,6.36878
NREM,0.00595,6.2439,6.36878,6.36878,6.2439
NREM,0.00598,6.11902,6.36878,6.2439,6.2439
NREM,0.00856,6.11902,6.36878,6.2439,6.2439
NREM,0.00598,6.11902,6.36878,6.2439,6.2439
NREM,0.00624,6.11902,6.2439,6.2439,6.11902
NREM,0.00598,6.11902,6.2439,6.2439,6.2439
NREM,0.00639,6.11902,6.2439,6.2439,6.11902
NREM,0.00634,6.11902,6.2439,6.2439,6.11902
NREM,0.00663,5.99415,6.2439,6.11902,6.11902
NREM,0.00712,5.99415,6.2439,6.11902,6.11902
NREM,0.00648,6.11902,6.2439,6.2439,6.11902
NREM,0.00625,6.11902,6.2439,6.2439,6.11902
NREM,0.00656,5.99415,6.2439,6.11902,6.11902
NREM,0.00625,6.11902,6.2439,6.2439,6.2439
NREM,0.00628,6.11902,6.2439,6.2439,6.2439
NREM,0.00687,5.99415,6.11902,6.11902,6.11902
NREM,0.00686,5.99415,6.2439,6.11902,6.11902
NREM,0.00685,5.99415,6.2439,6.11902,6.11902
NREM,0.00682,5.99415,6.11902,6.11902,5.99415
NREM,0.00676,5.99415,6.11902,6.11902,6.11902
NREM,0.00869,5.99415,6.2439,6.11902,6.11902
NREM,0.00643,5.99415,6.2439,6.11902,6.11902
NREM,0.00653,5.99415,6.2439,6.11902,6.11902
NREM,0.00669,5.99415,6.2439,6.11902,6.11902
NREM,0.00661,5.99415,6.2439,6.11902,6.11902
NREM,0.0103,5.86927,6.11902,6.11902,5.99415
NREM,0.00905,5.99415,6.2439,6.11902,6.11902
NREM,0.00666,5.99415,6.11902,6.11902,5.99415
NREM,0.00695,5.99415,6.11902,6.11902,5.99415
NREM,0.00682,5.99415,6.11902,6.11902,6.11902
NREM,0.00673,5.99415,6.11902,6.11902,6.11902
NREM,0.00659,5.99415,6.11902,6.11902,5.99415
NREM,0.00698,5.86927,6.2439,6.11902,5.99415
NREM,0.00051,0.74927,7.74244,3.37171,0.49951
NREM,0.00136,0.87415,5.36976,2.12293,0.62439
NREM,0.00062,0.62439,7.11805,2.37268,0.74927
NREM,0.00057,0.74927,7.24293,4.12098,0.24976
NREM,0.0005,0.74927,7.61756,3.49659,0.37463
NREM,0.00131,0.49951,6.99317,1.49854,0.49951
NREM,0.00129,0.62439,6.99317,2.12293,0.62439
NREM,0.00589,0.37463,4.62049,0.87415,0.24976
NREM,0.00919,0.37463,3.37171,0.62439,0.49951
NREM,0.01157,0.24976,3.62146,0.62439,0.24976
NREM,0.00937,0.37463,3.37171,0.74927,0.37463
NREM,0.01995,0.37463,2.2478,0.74927,0.37463
NREM,0.00602,0.37463,4.24585,0.87415,0.37463
NREM,0.00215,0.37463,5.74439,0.99902,0.49951
NREM,0.00134,0.49951,6.49366,1.74829,0.37463
NREM,0.00133,0.62439,6.61854,2.2478,0.49951
NREM,0.00093,0.49951,6.74341,2.2478,0.49951
NREM,0.00098,0.49951,6.61854,2.2478,0.49951
NREM,0.00087,0.49951,6.86829,2.49756,0.49951
NREM,0.00058,1.1239,7.24293,3.12195,0.74927
NREM,0.0006,0.74927,7.11805,3.12195,0.49951
NREM,0.001,0.49951,7.3678,2.37268,0.49951
NREM,0.0008,0.62439,7.24293,2.74732,0.49951
NREM,0.00085,0.62439,6.36878,2.37268,0.49951
NREM,0.00116,0.62439,6.49366,2.2478,0.49951
NREM,0.00123,0.49951,6.49366,2.12293,0.49951
NREM,0.00064,0.74927,6.99317,2.2478,0.62439
NREM,0.00379,0.37463,5.61951,1.1239,0.49951
NREM,0.00085,0.49951,6.99317,1.74829,0.49951
NREM,0.00087,0.49951,6.61854,1.99805,0.49951
NREM,0.001,0.37463,7.11805,1.87317,0.24976
NREM,0.00092,0.62439,6.99317,2.49756,0.49951
NREM,0.00113,0.87415,5.86927,2.2478,0.49951
NREM,0.00126,0.62439,6.61854,2.37268,0.49951
NREM,0.00121,0.62439,6.49366,2.49756,0.37463
NREM,0.00131,0.62439,6.36878,2.62244,0.24976
NREM,0.00115,0.87415,6.2439,2.74732,0.49951
NREM,0.00127,0.74927,6.11902,2.62244,0.49951
NREM,0.00122,0.74927,6.36878,3.12195,0.24976
NREM,0.00153,0.87415,5.74439,2.62244,0.24976
NREM,0.0014,0.62439,6.2439,2.49756,0.24976
NREM,0.00133,0.74927,5.99415,2.37268,0.24976
NREM,0.00181,0.62439,5.74439,2.12293,0.37463
NREM,0.0014,0.62439,5.86927,2.62244,0.24976
NREM,0.00158,0.49951,5.86927,2.37268,0.49951
NREM,0.00129,0.49951,6.49366,2.49756,0.49951
NREM,0.00145,0.74927,5.99415,2.62244,0.24976
NREM,0.00171,0.74927,5.74439,2.49756,0.24976
NREM,0.00129,0.62439,5.86927,2.74732,0.49951
NREM,0.00152,0.87415,5.24488,2.2478,0.24976
NREM,0.00173,0.87415,5.49463,2.62244,0.24976
NREM,0.00143,0.99902,5.49463,2.99707,0.49951
NREM,0.00154,0.62439,5.49463,2.49756,0.24976
NREM,0.00153,0.74927,5.74439,2.62244,0.62439
NREM,0.00136,0.99902,5.74439,2.99707,0.62439
NREM,0.00144,0.87415,5.49463,3.24683,0.87415
NREM,0.00169,0.74927,5.36976,2.74732,0.62439
NREM,0.00151,1.1239,5.61951,2.8722,0.74927
NREM,0.00145,1.1239,6.2439,3.12195,0.49951
NREM,0.00203,0.49951,5.49463,2.37268,0.37463
NREM,0.00159,0.62439,5.49463,2.74732,0.49951
NREM,0.00199,0.74927,5.36976,2.49756,0.62439
NREM,0.0017,0.99902,5.36976,2.74732,0.49951
NREM,0.0018,0.87415,5.99415,2.8722,0.24976
NREM,0.00168,1.24878,5.61951,2.49756,1.24878
NREM,0.00496,1.49854,5.49463,2.74732,0.24976
NREM,0.00214,0.49951,5.49463,1.99805,0.49951
NREM,0.00269,0.74927,5.86927,2.49756,0.49951
NREM,0.0018,0.49951,5.74439,2.49756,0.62439
NREM,0.00262,0.74927,5.61951,2.2478,0.24976
NREM,0.00218,0.62439,5.36976,2.2478,0.62439
NREM,0.00188,0.49951,5.61951,2.37268,0.49951
NREM,0.00238,0.49951,5.36976,1.87317,0.49951
NREM,0.00286,0.49951,5.24488,2.49756,0.24976
NREM,0.00846,0.87415,5.24488,2.37268,0.49951
NREM,0.0016,0.74927,5.74439,2.8722,0.49951
NREM,0.00136,0.62439,5.74439,2.99707,0.24976
NREM,0.00126,0.74927,6.49366,2.74732,0.62439
NREM,0.00218,0.74927,5.86927,2.2478,0.49951
NREM,0.00177,0.62439,5.86927,2.2478,0.49951
NREM,0.00228,0.87415,5.86927,2.49756,0.49951
NREM,0.00132,0.62439,5.86927,3.37171,0.49951
NREM,0.00119,0.99902,5.36976,3.24683,0.62439
NREM,0.00177,0.99902,5.36976,2.62244,0.99902
NREM,0.00125,0.74927,6.11902,3.12195,0.49951
NREM,0.00154,0.87415,5.99415,2.8722,0.49951
NREM,0.00121,0.74927,6.11902,2.74732,0.37463
NREM,0.00326,0.99902,4.99512,2.49756,1.1239
NREM,0.00131,0.62439,5.99415,2.74732,0.49951
NREM,0.00141,0.74927,5.61951,2.99707,0.62439
NREM,0.00157,0.74927,5.24488,2.8722,0.24976
NREM,0.0016,0.87415,6.36878,2.99707,0.49951
NREM,0.00164,0.62439,5.61951,2.8722,0.49951
NREM,0.00143,0.62439,5.86927,2.8722,0.49951
NREM,0.00215,0.62439,5.36976,2.62244,0.62439
NREM,0.00212,0.49951,5.74439,2.2478,0.24976
NREM,0.00297,0.99902,5.49463,2.2478,0.49951
NREM,0.00174,0.62439,5.49463,2.49756,0.49951
NREM,0.00236,0.74927,5.49463,2.62244,0.62439
NREM,0.00316,0.74927,5.61951,2.49756,0.62439
NREM,0.00217,0.62439,5.24488,2.2478,0.49951
NREM,0.00365,0.87415,5.24488,1.99805,0.74927
NREM,0.00204,0.62439,5.74439,2.62244,0.49951
NREM,0.00159,0.62439,5.74439,2.49756,0.62439
NREM,0.00193,0.62439,5.74439,2.37268,0.49951
NREM,0.00298,1.1239,5.36976,2.62244,0.49951
NREM,0.00233,0.99902,5.36976,2.2478,0.49951
NREM,0.00205,0.62439,5.61951,2.74732,0.49951
NREM,0.00234,0.87415,6.2439,3.37171,0.49951
NREM,0.00226,0.62439,6.11902,2.37268,0.62439
NREM,0.00249,1.24878,5.36976,2.8722,0.49951
