Sleep_Stage,MeanP_Delta_O2,MedianF_Delta_O2,MeanF_Delta_O2,Spectral Edge_Delta_O2,PeakF_Delta_O2
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
REM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,2.29E-40,31.96878,31.96878,32.09366,31.96878
NREM,0.00049,1.24878,8.11707,4.12098,0.49951
NREM,0.00067,1.24878,6.99317,3.9961,0.74927
NREM,0.00081,1.24878,6.99317,3.87122,0.37463
NREM,0.00052,1.74829,7.61756,4.24585,0.37463
NREM,0.00049,1.62341,7.24293,3.87122,0.37463
NREM,0.00072,1.49854,7.24293,3.87122,0.37463
NREM,0.00043,1.24878,7.9922,4.12098,0.62439
NREM,0.00073,1.49854,6.49366,3.87122,0.37463
NREM,0.00113,1.37366,6.36878,3.74634,0.49951
NREM,0.00074,1.62341,6.49366,4.12098,1.1239
NREM,0.00107,1.49854,6.49366,3.87122,1.37366
NREM,0.00095,1.1239,6.49366,3.87122,0.87415
NREM,0.00093,1.49854,6.61854,3.9961,0.74927
NREM,0.0006,1.24878,7.86732,3.87122,0.49951
NREM,0.00121,1.37366,6.36878,3.74634,1.1239
NREM,0.00094,1.37366,6.49366,3.87122,0.49951
NREM,0.00112,1.24878,6.49366,3.74634,0.74927
NREM,0.00074,1.49854,6.86829,4.24585,0.37463
NREM,0.001,1.37366,6.61854,3.74634,0.74927
NREM,0.0012,1.62341,5.99415,3.49659,0.87415
NREM,0.00124,1.24878,6.11902,3.49659,0.74927
NREM,0.00106,1.37366,6.36878,3.87122,1.1239
NREM,0.00134,1.1239,6.49366,3.49659,0.49951
NREM,0.00131,1.24878,6.49366,3.12195,0.49951
NREM,0.00102,1.62341,6.74341,3.9961,1.24878
NREM,0.00168,1.1239,5.99415,3.49659,0.87415
NREM,0.00114,1.37366,6.74341,3.49659,0.62439
NREM,0.00136,0.99902,6.49366,3.74634,0.49951
NREM,0.00131,1.24878,6.11902,3.24683,0.87415
NREM,0.00146,0.99902,6.2439,3.37171,0.62439
NREM,0.00172,1.1239,5.86927,3.37171,0.74927
NREM,0.00177,1.1239,5.86927,3.24683,0.62439
NREM,0.00148,0.99902,6.11902,3.62146,0.62439
NREM,0.00193,1.1239,5.99415,2.99707,0.62439
NREM,0.00185,1.1239,5.86927,3.24683,0.99902
NREM,0.00152,1.1239,5.74439,3.12195,0.62439
NREM,0.00185,0.99902,5.86927,3.12195,0.87415
NREM,0.0019,1.1239,5.49463,2.99707,0.87415
NREM,0.0018,1.1239,5.74439,2.8722,1.1239
NREM,0.0022,0.87415,5.74439,2.99707,0.62439
NREM,0.0021,0.99902,5.49463,2.99707,0.74927
NREM,0.00246,0.74927,5.61951,2.8722,0.62439
NREM,0.00219,1.1239,5.24488,2.8722,0.87415
NREM,0.0019,1.1239,5.61951,3.12195,1.24878
NREM,0.00272,0.99902,5.49463,2.74732,0.99902
NREM,0.00186,1.1239,5.86927,3.12195,0.99902
NREM,0.00278,0.87415,5.12,2.74732,0.74927
NREM,0.00263,0.87415,5.61951,2.37268,0.87415
NREM,0.00268,0.99902,5.36976,2.62244,0.62439
NREM,0.00209,1.1239,5.36976,3.12195,1.24878
NREM,0.00227,0.99902,5.36976,2.62244,1.24878
NREM,0.00293,0.74927,5.49463,2.62244,0.74927
NREM,0.00264,0.99902,5.36976,2.74732,0.74927
NREM,0.00239,0.87415,5.49463,2.49756,0.99902
NREM,0.00262,0.87415,5.49463,2.74732,0.74927
NREM,0.00257,0.74927,5.24488,2.37268,0.62439
NREM,0.00315,0.87415,4.99512,2.37268,0.62439
NREM,0.00192,0.99902,5.49463,2.8722,0.87415
NREM,0.00302,0.87415,5.12,2.49756,0.62439
NREM,0.00272,0.87415,5.36976,2.49756,0.49951
NREM,0.00255,0.99902,5.36976,3.12195,0.62439
NREM,0.0042,0.74927,4.74537,2.12293,0.74927
NREM,0.0017,1.24878,5.61951,2.99707,1.1239
NREM,0.0027,0.87415,5.61951,2.62244,0.74927
NREM,0.00267,0.99902,5.49463,2.62244,0.87415
NREM,0.00293,0.99902,5.12,2.62244,0.62439
NREM,0.00255,0.74927,5.61951,2.74732,0.49951
NREM,0.00229,1.1239,5.61951,2.74732,0.87415
NREM,0.00323,0.74927,5.24488,2.49756,0.49951
NREM,0.00326,0.74927,5.49463,2.2478,0.62439
NREM,0.00283,0.99902,5.12,2.49756,0.74927
NREM,0.003,0.87415,5.24488,2.37268,0.62439
NREM,0.00294,0.99902,5.24488,2.49756,0.49951
NREM,0.00317,0.87415,5.12,2.12293,0.49951
NREM,0.00291,0.87415,5.24488,2.62244,0.74927
NREM,0.00336,0.62439,5.36976,2.37268,0.49951
NREM,0.00234,0.99902,5.49463,2.62244,0.74927
NREM,0.00291,0.74927,4.99512,2.37268,0.74927
NREM,0.00256,0.87415,5.36976,2.62244,0.62439
NREM,0.00281,0.99902,5.24488,2.49756,0.49951
NREM,0.00353,0.74927,4.99512,2.2478,0.62439
NREM,0.00233,0.99902,5.49463,2.8722,0.49951
NREM,0.00303,0.87415,5.24488,2.62244,0.74927
NREM,0.00285,0.87415,5.36976,2.37268,0.74927
NREM,0.00239,0.74927,5.49463,2.62244,0.49951
NREM,0.00269,0.74927,5.36976,2.37268,0.62439
NREM,0.00271,0.87415,6.36878,2.2478,0.62439
NREM,0.00158,0.87415,5.99415,2.99707,0.74927
NREM,0.00141,0.99902,6.11902,3.37171,0.49951
NREM,0.00069,1.1239,6.99317,3.87122,0.37463
NREM,0.00082,1.1239,7.74244,4.24585,1.1239
NREM,0.00085,0.99902,7.3678,3.74634,0.87415
NREM,0.00076,1.1239,7.74244,4.74537,0.74927
NREM,0.00069,0.99902,7.3678,3.9961,0.74927
NREM,0.00078,0.99902,7.11805,3.62146,0.62439
NREM,0.00091,0.87415,7.3678,3.37171,0.74927
NREM,0.00062,1.1239,7.11805,3.74634,0.37463
NREM,0.00105,1.1239,6.99317,3.24683,0.74927
NREM,0.00071,1.1239,7.49268,3.87122,0.62439
NREM,0.0008,0.99902,7.3678,3.62146,0.49951
NREM,0.00068,1.37366,6.2439,3.74634,1.37366
NREM,0.00075,0.87415,7.3678,3.12195,0.49951
NREM,0.00068,1.24878,6.11902,3.49659,0.49951
NREM,0.00076,1.37366,6.36878,3.62146,0.74927
NREM,0.00063,1.37366,6.86829,3.74634,0.49951
NREM,0.00059,1.1239,6.2439,3.37171,0.49951
NREM,0.00098,0.99902,6.2439,3.37171,0.74927
NREM,0.00121,0.87415,7.24293,3.24683,0.49951
