Sleep_Stage,MeanP_Alpha_O2,MedianF_Alpha_O2,MeanF_Alpha_O2,Spectral Edge_Alpha_O2,PeakF_Alpha_O2
NREM,0.0009,7.74244,12.61268,11.86341,6.99317
NREM,0.00069,8.24195,13.23707,11.98829,7.49268
NREM,0.00067,7.86732,13.48683,12.61268,7.24293
NREM,0.00094,8.49171,12.98732,12.23805,8.61659
NREM,0.00066,7.24293,12.98732,12.11317,7.11805
NREM,0.0008,7.61756,12.36293,11.73854,8.36683
NREM,0.00058,7.74244,13.48683,12.36293,6.99317
NREM,0.00062,7.86732,13.23707,12.11317,9.74049
NREM,0.00075,7.61756,12.86244,11.98829,7.11805
NREM,0.00063,7.9922,13.36195,12.61268,7.86732
NREM,0.00078,8.11707,13.36195,12.61268,6.86829
NREM,0.00074,7.9922,13.36195,12.4878,6.49366
NREM,0.00067,8.11707,13.23707,12.4878,8.49171
NREM,0.00072,7.74244,13.23707,12.36293,7.11805
NREM,0.00072,8.11707,13.61171,12.4878,6.36878
NREM,0.00067,8.24195,13.98634,13.36195,8.11707
NREM,0.00075,8.61659,13.98634,13.1122,8.61659
NREM,0.0009,7.74244,12.61268,11.48878,7.9922
NREM,0.00079,8.24195,12.73756,11.86341,8.99122
NREM,0.00069,9.24098,14.2361,13.73659,10.48976
NREM,0.00064,8.24195,13.73659,12.61268,7.11805
NREM,0.00069,8.36683,14.48585,13.61171,8.11707
NREM,0.00076,8.49171,14.86049,13.86146,7.61756
REM,0.00093,8.74146,15.48488,14.2361,8.99122
REM,0.00057,9.1161,15.73463,14.61073,10.61463
NREM,0.00067,9.1161,15.98439,14.73561,9.1161
REM,0.00055,8.74146,17.10829,15.60976,8.36683
REM,0.00056,8.61659,17.10829,15.85951,7.86732
REM,0.00049,8.99122,16.23415,15.36,8.99122
REM,0.00055,9.24098,16.60878,15.73463,8.86634
REM,0.00096,9.36585,15.11024,14.2361,8.11707
REM,0.0006,8.24195,15.98439,14.48585,5.74439
REM,0.00052,9.24098,18.2322,17.48293,8.86634
REM,0.00026,8.61659,17.6078,16.60878,6.86829
REM,0.00026,9.36585,17.6078,16.85854,9.74049
REM,0.00031,8.99122,17.98244,17.10829,5.99415
REM,0.00082,10.11512,17.48293,16.73366,9.24098
NREM,0.00058,8.86634,18.2322,17.10829,7.86732
REM,0.00042,8.49171,17.10829,15.73463,7.86732
REM,0.0004,8.49171,16.85854,16.10927,7.11805
REM,0.0004,8.61659,17.6078,16.10927,8.74146
REM,0.00042,8.61659,17.85756,16.85854,5.86927
REM,0.0003,8.74146,17.6078,16.23415,8.61659
REM,0.00044,9.61561,18.2322,17.48293,5.99415
NREM,0.0005,9.36585,19.3561,18.85659,8.74146
REM,0.00037,8.99122,17.23317,16.35902,6.99317
REM,0.00027,9.24098,16.4839,15.73463,7.86732
REM,0.00024,9.24098,17.23317,16.35902,6.2439
REM,0.00042,8.99122,17.98244,17.35805,7.11805
REM,0.00072,10.11512,19.85561,19.60585,8.36683
REM,0.00053,10.11512,17.6078,16.85854,10.24
REM,0.00029,8.74146,17.6078,16.35902,8.86634
REM,0.00037,8.99122,18.73171,17.6078,5.36976
REM,0.00052,9.86537,19.60585,18.98146,9.61561
REM,0.00037,8.99122,19.10634,17.73268,9.49073
REM,0.00038,9.49073,19.10634,18.35707,5.36976
REM,0.00034,8.74146,16.98341,15.73463,8.74146
NREM,0.00079,10.11512,20.72976,20.60488,9.1161
NREM,0.00081,8.61659,15.85951,14.61073,8.11707
REM,0.00042,8.61659,16.85854,15.60976,8.74146
REM,0.00035,8.99122,16.98341,15.85951,8.11707
REM,0.00034,9.36585,18.35707,17.35805,8.24195
REM,0.00051,8.99122,17.85756,17.10829,7.24293
NREM,0.00273,7.74244,18.73171,16.4839,8.24195
NREM,0.00063,9.99024,19.23122,18.73171,8.49171
NREM,0.00063,8.74146,14.73561,14.11122,8.36683
NREM,0.0004,9.1161,16.23415,15.11024,9.49073
NREM,0.00062,9.49073,17.23317,16.60878,8.49171
NREM,0.00084,8.86634,18.85659,17.73268,8.24195
NREM,0.00041,8.74146,15.60976,14.48585,6.2439
NREM,0.00059,9.61561,14.48585,13.98634,8.11707
NREM,0.00053,8.99122,15.85951,14.86049,8.24195
NREM,0.00061,9.24098,14.48585,13.73659,9.36585
NREM,0.00039,9.36585,15.98439,15.23512,8.86634
NREM,0.00067,10.11512,14.48585,13.86146,11.3639
NREM,0.00041,8.86634,15.36,14.61073,9.24098
NREM,0.00106,8.86634,14.86049,14.11122,8.49171
NREM,0.00127,10.86439,20.35512,20.35512,9.99024
NREM,0.00078,9.24098,16.85854,16.10927,8.49171
NREM,0.00033,8.99122,15.85951,14.86049,7.74244
NREM,0.00036,8.74146,14.98537,14.36098,10.11512
NREM,0.00036,8.99122,15.48488,14.36098,8.49171
NREM,0.00063,9.74049,13.98634,13.36195,9.74049
NREM,0.00117,11.86341,22.47805,22.97756,8.61659
NREM,0.00046,9.36585,14.36098,13.86146,7.61756
NREM,0.0005,9.1161,14.48585,13.98634,8.86634
NREM,0.00067,9.49073,13.36195,12.73756,10.98927
NREM,0.00047,9.1161,14.61073,13.48683,9.36585
NREM,0.00057,9.1161,14.11122,13.36195,9.61561
NREM,0.00042,9.1161,14.98537,14.48585,9.1161
NREM,0.00056,9.36585,13.98634,13.1122,10.11512
NREM,0.00051,9.24098,14.2361,13.36195,8.24195
NREM,0.00043,9.61561,14.36098,13.61171,10.11512
NREM,0.00042,8.99122,14.86049,13.98634,9.99024
NREM,0.00059,9.24098,13.73659,13.36195,8.86634
NREM,0.00058,9.36585,13.98634,13.61171,9.86537
NREM,0.00057,8.99122,14.11122,12.98732,9.99024
NREM,0.00062,9.24098,14.2361,13.1122,9.1161
NREM,0.0005,9.36585,13.98634,13.48683,9.61561
NREM,0.00052,8.74146,13.86146,12.61268,9.74049
NREM,0.0006,9.86537,13.73659,13.23707,10.11512
NREM,0.00064,8.74146,14.11122,13.23707,7.86732
NREM,0.00063,9.1161,13.86146,12.98732,9.24098
NREM,0.00058,9.36585,13.61171,13.23707,9.49073
NREM,0.00068,9.61561,13.48683,12.98732,9.74049
NREM,0.00051,8.99122,13.98634,13.36195,9.24098
NREM,0.0006,8.74146,13.36195,12.23805,9.24098
NREM,0.00077,8.86634,13.23707,12.73756,9.49073
NREM,0.00067,9.61561,13.36195,12.61268,9.74049
NREM,0.00067,8.99122,13.36195,12.61268,7.24293
NREM,0.0007,9.1161,12.86244,12.36293,10.24
NREM,0.00052,9.24098,14.11122,13.23707,9.99024
NREM,0.00074,8.74146,13.61171,12.98732,7.9922
NREM,0.00067,9.1161,13.86146,13.1122,9.49073
NREM,0.00087,9.1161,13.48683,12.98732,8.36683
NREM,0.00067,8.86634,13.23707,12.61268,8.61659
NREM,0.00182,9.86537,18.98146,18.60683,9.86537
NREM,0.00081,8.61659,15.36,13.86146,8.49171
NREM,0.00064,9.61561,14.98537,14.36098,9.61561
NREM,0.004,11.86341,22.60293,22.7278,11.23902
NREM,0.00061,9.1161,14.61073,13.48683,9.1161
NREM,0.00044,9.36585,15.36,14.48585,9.24098
NREM,0.00066,9.61561,14.61073,13.98634,9.74049
NREM,0.00049,9.49073,14.73561,14.11122,10.36488
NREM,0.00054,9.24098,13.98634,13.48683,8.61659
NREM,0.00044,9.24098,14.86049,14.11122,9.74049
NREM,0.00055,9.24098,14.61073,13.86146,8.36683
NREM,0.00051,8.86634,14.61073,14.11122,9.36585
NREM,0.00053,9.1161,13.98634,12.98732,9.36585
NREM,0.00072,8.99122,13.86146,13.1122,8.36683
NREM,0.00053,8.86634,14.36098,12.98732,8.61659
NREM,0.00047,9.36585,14.36098,13.98634,11.23902
NREM,0.00059,8.74146,14.11122,13.73659,9.1161
NREM,0.00059,9.24098,13.98634,13.36195,8.36683
NREM,0.0007,9.36585,13.98634,13.36195,8.99122
NREM,0.00069,8.61659,13.86146,13.23707,9.24098
NREM,0.00058,8.99122,14.11122,13.48683,7.74244
NREM,0.0007,9.36585,13.86146,13.48683,8.24195
NREM,0.00062,8.99122,13.61171,12.98732,8.24195
NREM,0.00055,9.24098,13.73659,13.23707,7.11805
NREM,0.00072,8.74146,13.86146,13.23707,9.61561
NREM,0.00067,8.86634,13.98634,12.98732,7.86732
NREM,0.00075,8.61659,13.48683,12.4878,8.99122
NREM,0.0008,8.86634,13.73659,13.1122,9.36585
NREM,0.00068,8.99122,13.98634,13.36195,9.49073
NREM,0.00086,8.86634,13.86146,13.23707,7.24293
NREM,0.00062,8.49171,13.86146,12.98732,8.11707
NREM,0.00082,9.24098,13.73659,13.23707,6.61854
NREM,0.0006,9.1161,14.11122,13.73659,9.61561
NREM,0.00076,8.86634,13.86146,12.98732,9.24098
NREM,0.00066,8.49171,13.98634,12.73756,8.74146
NREM,0.00078,8.86634,13.98634,13.48683,9.36585
NREM,0.00074,8.49171,13.36195,12.73756,8.86634
NREM,0.0007,8.49171,13.98634,13.61171,8.99122
NREM,0.00077,8.36683,13.73659,12.61268,8.74146
NREM,0.00105,9.24098,14.36098,13.61171,9.99024
NREM,0.00053,9.36585,14.48585,13.98634,9.49073
NREM,0.00061,8.49171,13.98634,13.1122,9.24098
NREM,0.0024,11.73854,18.60683,18.48195,8.86634
NREM,0.00065,9.36585,13.48683,12.73756,10.36488
NREM,0.00055,8.74146,14.36098,13.73659,8.86634
NREM,0.00058,8.74146,13.86146,12.73756,8.61659
NREM,0.00072,8.86634,13.73659,13.1122,8.61659
NREM,0.00057,9.36585,14.11122,13.73659,8.61659
NREM,0.00057,8.86634,13.73659,13.23707,9.61561
NREM,0.00065,8.24195,14.11122,13.36195,6.74341
NREM,0.0007,8.99122,14.11122,13.48683,8.61659
NREM,0.00091,8.49171,13.73659,13.36195,8.24195
NREM,0.00086,8.61659,13.36195,12.73756,8.49171
NREM,0.00086,8.99122,13.61171,13.1122,8.61659
NREM,0.00088,8.36683,13.1122,12.36293,7.3678
NREM,0.00061,8.61659,13.61171,12.73756,8.99122
NREM,0.00078,9.1161,13.73659,12.98732,9.61561
NREM,0.0009,8.61659,14.2361,13.36195,8.36683
NREM,0.00199,9.61561,15.73463,15.36,9.99024
NREM,0.00043,8.99122,14.73561,13.98634,10.11512
NREM,0.00066,8.86634,14.36098,13.86146,8.99122
NREM,0.00045,8.36683,14.36098,13.86146,6.99317
NREM,0.00056,9.74049,14.2361,13.73659,10.61463
NREM,0.00061,9.1161,13.73659,12.86244,9.24098
NREM,0.00073,9.36585,13.98634,13.23707,9.74049
NREM,0.00073,8.86634,15.36,14.61073,8.11707
NREM,0.00132,9.24098,14.98537,14.48585,8.61659
REM,0.0004,9.36585,16.98341,16.10927,8.86634
REM,0.00035,9.1161,17.35805,16.23415,8.74146
REM,0.00046,9.86537,18.2322,17.35805,9.24098
REM,0.00053,9.99024,16.85854,16.10927,10.98927
REM,0.00055,10.11512,17.85756,16.60878,10.24
NREM,0.00209,11.3639,20.10537,20.10537,9.86537
NREM,0.00053,8.74146,14.98537,14.2361,9.86537
NREM,0.00159,11.61366,20.97951,20.97951,10.36488
NREM,0.00072,9.61561,15.85951,15.23512,8.24195
REM,0.00101,9.36585,15.23512,14.48585,8.36683
REM,0.00062,9.36585,16.85854,16.23415,8.49171
REM,0.00038,10.11512,16.85854,16.60878,8.86634
REM,0.0003,9.36585,17.6078,16.73366,8.99122
REM,0.00041,9.36585,18.2322,17.48293,8.11707
REM,0.00048,9.36585,16.73366,15.98439,8.24195
REM,0.00044,9.86537,18.48195,17.6078,8.61659
REM,0.00047,9.24098,17.10829,15.73463,10.36488
REM,0.0004,9.36585,17.10829,16.23415,10.36488
REM,0.00038,10.11512,17.48293,16.85854,6.36878
REM,0.00039,9.74049,16.85854,16.35902,5.61951
REM,0.00035,9.1161,16.85854,15.98439,9.24098
REM,0.0003,9.24098,17.6078,16.73366,5.86927
REM,0.00029,9.24098,18.85659,17.73268,9.99024
REM,0.00043,10.24,17.98244,17.10829,13.1122
REM,0.00054,8.49171,17.48293,15.73463,5.99415
REM,0.00038,9.36585,19.60585,19.10634,8.49171
REM,0.00035,8.99122,16.85854,15.85951,7.74244
REM,0.0003,8.99122,18.60683,17.73268,7.61756
REM,0.00031,9.1161,18.60683,17.6078,6.11902
REM,0.00039,9.61561,19.3561,18.35707,11.86341
REM,0.00042,9.86537,19.23122,18.85659,10.11512
REM,0.0004,9.49073,16.35902,15.48488,6.74341
REM,0.00042,10.11512,18.98146,18.35707,8.86634
REM,0.00033,9.74049,18.60683,17.73268,5.99415
REM,0.00062,9.49073,17.73268,16.73366,9.49073
REM,0.00072,10.36488,16.23415,15.98439,10.36488
NREM,0.0028,12.98732,21.6039,21.97854,9.49073
NREM,0.00044,8.61659,16.98341,15.73463,5.99415
NREM,0.00047,8.99122,15.36,14.2361,8.61659
REM,0.00036,9.74049,17.6078,16.98341,9.99024
REM,0.00033,10.48976,18.48195,17.98244,10.48976
REM,0.00047,9.49073,17.10829,16.35902,8.99122
REM,0.00048,9.36585,18.2322,16.85854,9.24098
REM,0.0004,8.24195,16.98341,15.85951,7.49268
REM,0.00039,9.61561,18.73171,18.2322,7.74244
REM,0.00042,10.86439,18.73171,18.35707,9.49073
REM,0.00037,9.36585,16.10927,15.11024,7.86732
REM,0.0003,9.61561,17.73268,16.4839,6.11902
NREM,0.00051,9.1161,15.48488,14.61073,9.74049
NREM,0.00061,8.86634,16.10927,14.48585,8.99122
REM,0.00049,8.36683,15.85951,14.73561,8.36683
NREM,0.00055,8.74146,14.98537,13.86146,9.1161
NREM,0.00056,8.86634,16.98341,15.60976,8.86634
NREM,0.00041,8.86634,15.98439,14.86049,7.74244
NREM,0.00033,9.1161,16.23415,15.36,5.74439
NREM,0.00053,8.61659,15.98439,14.86049,8.24195
NREM,0.00055,8.61659,16.73366,15.11024,8.61659
NREM,0.00039,9.24098,17.23317,16.10927,9.99024
NREM,0.00021,9.61561,17.85756,16.98341,6.36878
REM,0.0005,9.86537,17.10829,16.10927,9.36585
REM,0.00035,9.36585,18.35707,17.48293,5.86927
NREM,0.00047,8.74146,16.85854,15.11024,5.86927
NREM,0.00264,12.36293,18.35707,18.35707,10.24
NREM,0.00231,11.61366,19.60585,19.85561,8.61659
NREM,0.0005,8.11707,16.35902,15.48488,7.11805
NREM,0.00131,13.1122,21.85366,23.10244,10.24
NREM,0.0006,8.86634,15.36,13.73659,8.61659
NREM,0.00062,8.49171,15.23512,13.48683,7.86732
NREM,0.00062,8.86634,15.48488,14.48585,7.74244
NREM,0.00049,8.61659,15.73463,14.36098,8.74146
NREM,0.00055,8.36683,14.36098,13.23707,8.36683
NREM,0.00064,8.61659,15.85951,15.23512,7.86732
NREM,0.00081,8.49171,13.86146,13.23707,7.9922
NREM,0.00067,8.74146,14.11122,13.36195,6.86829
NREM,0.00078,8.61659,13.36195,12.73756,8.86634
NREM,0.00051,8.99122,14.86049,13.98634,9.24098
NREM,0.00078,8.86634,13.61171,12.98732,10.48976
NREM,0.00088,8.11707,13.1122,12.23805,7.9922
NREM,0.00053,8.61659,14.61073,13.98634,8.99122
NREM,0.00078,7.74244,13.48683,12.4878,7.86732
NREM,0.00069,9.49073,14.36098,13.98634,10.48976
NREM,0.00058,8.24195,13.86146,12.98732,10.11512
NREM,0.00082,7.86732,13.61171,12.61268,7.49268
NREM,0.00086,9.1161,13.61171,12.98732,9.86537
NREM,0.00255,11.3639,19.3561,19.23122,7.86732
NREM,0.00094,8.49171,14.86049,13.48683,7.74244
NREM,0.00076,8.49171,14.61073,13.73659,6.99317
NREM,0.00064,8.74146,14.73561,13.73659,8.99122
NREM,0.00113,9.1161,13.61171,12.86244,9.99024
NREM,0.0007,8.61659,14.36098,13.98634,8.61659
NREM,0.00095,8.86634,16.10927,15.23512,7.86732
NREM,0.00089,8.36683,13.86146,12.86244,8.49171
NREM,0.00098,8.49171,14.2361,13.1122,8.49171
NREM,0.00074,8.86634,15.11024,14.2361,8.49171
NREM,0.00086,8.49171,14.11122,12.86244,8.61659
NREM,0.0007,8.11707,14.2361,13.1122,7.24293
NREM,0.00099,7.86732,13.48683,11.98829,7.61756
NREM,0.00084,8.49171,14.48585,13.23707,7.86732
NREM,0.00066,8.11707,13.98634,12.86244,9.61561
NREM,0.00104,8.61659,13.73659,12.73756,8.74146
NREM,0.00076,8.11707,13.86146,12.86244,8.24195
NREM,0.00093,8.24195,13.86146,12.98732,8.36683
NREM,0.00083,8.49171,13.98634,13.1122,7.24293
NREM,0.00079,8.49171,13.73659,12.86244,8.24195
NREM,0.00094,7.9922,13.48683,12.86244,6.11902
NREM,0.00081,8.86634,14.11122,13.61171,6.74341
NREM,0.0007,8.61659,14.11122,13.1122,9.36585
NREM,0.00093,8.74146,14.61073,14.2361,8.74146
NREM,0.00103,8.36683,13.61171,12.86244,8.24195
NREM,0.00098,8.61659,13.98634,13.23707,7.9922
NREM,0.0009,8.99122,13.73659,12.98732,10.61463
NREM,0.00081,7.9922,14.11122,12.98732,7.9922
NREM,0.00102,8.49171,14.2361,13.86146,8.61659
NREM,0.00064,8.24195,14.2361,13.61171,8.74146
NREM,0.00091,8.99122,13.61171,12.86244,9.74049
NREM,0.00106,8.24195,14.11122,13.23707,8.99122
NREM,0.00092,8.49171,13.61171,12.73756,7.86732
NREM,0.00088,8.86634,13.73659,12.86244,8.49171
NREM,0.00087,8.24195,14.11122,13.1122,7.3678
NREM,0.00124,8.86634,13.86146,13.48683,8.61659
NREM,0.00103,8.11707,13.23707,12.23805,8.74146
NREM,0.00097,7.9922,13.86146,12.98732,7.86732
NREM,0.00089,8.36683,13.86146,12.61268,9.61561
NREM,0.00068,10.98927,15.36,14.48585,10.61463
NREM,0.0006,10.73951,17.48293,16.85854,10.61463
NREM,0.00047,10.86439,16.73366,16.10927,10.73951
NREM,0.00036,10.98927,18.2322,17.48293,10.98927
NREM,0.00042,10.98927,15.98439,15.60976,10.98927
NREM,0.00051,10.98927,17.10829,16.23415,10.86439
NREM,0.00044,10.98927,16.73366,16.10927,11.48878
NREM,0.00036,10.36488,15.85951,14.73561,11.11415
NREM,0.00019,8.36683,16.73366,15.36,8.49171
NREM,0.0004,7.86732,16.23415,14.98537,5.24488
NREM,0.00052,7.74244,14.86049,13.73659,7.49268
NREM,0.00057,7.9922,15.36,14.2361,5.36976
NREM,0.00066,7.3678,14.61073,13.1122,6.2439
NREM,0.0005,7.61756,14.61073,13.23707,8.36683
NREM,0.00067,8.49171,14.61073,14.11122,8.24195
NREM,0.00049,7.3678,14.36098,12.73756,5.99415
NREM,0.00066,7.74244,14.48585,13.61171,7.61756
NREM,0.00066,7.9922,14.73561,13.61171,7.86732
NREM,0.00078,7.74244,14.36098,13.86146,7.24293
NREM,0.00089,7.49268,13.23707,11.73854,4.87024
NREM,0.00088,8.11707,14.2361,13.48683,8.49171
NREM,0.00083,7.61756,13.48683,12.4878,4.49561
NREM,0.00102,7.49268,14.2361,13.1122,7.3678
NREM,0.001,7.24293,13.98634,12.98732,6.49366
NREM,0.00085,7.86732,13.98634,13.61171,7.3678
NREM,0.00097,7.24293,13.1122,12.11317,6.86829
NREM,0.00117,7.74244,13.86146,13.61171,6.86829
NREM,0.00103,8.24195,14.36098,13.73659,7.11805
NREM,0.00121,6.99317,12.98732,11.48878,5.12
NREM,0.00131,7.3678,13.48683,11.98829,6.74341
NREM,0.00119,7.61756,13.98634,13.36195,5.99415
NREM,0.00113,7.3678,13.73659,13.1122,5.86927
NREM,0.00092,7.11805,12.98732,11.73854,4.99512
NREM,0.00088,7.61756,13.73659,12.4878,6.86829
NREM,0.00104,7.49268,13.98634,13.61171,6.99317
NREM,0.00095,7.24293,13.61171,12.4878,6.86829
NREM,0.00095,7.11805,13.48683,12.36293,7.3678
NREM,0.00091,7.24293,13.86146,12.36293,7.3678
NREM,0.00086,7.11805,13.73659,12.23805,5.24488
NREM,0.00108,6.86829,13.23707,11.73854,6.74341
NREM,0.00076,7.3678,13.73659,12.73756,6.11902
NREM,0.00096,6.49366,13.48683,12.11317,5.61951
NREM,0.00076,7.11805,13.36195,11.98829,5.36976
NREM,0.00083,7.49268,13.48683,12.23805,6.11902
NREM,0.00096,6.99317,13.23707,11.86341,7.61756
NREM,0.00093,6.86829,12.4878,10.61463,6.99317
NREM,0.0008,6.99317,13.86146,13.1122,6.36878
NREM,0.00084,6.99317,12.86244,11.48878,4.62049
NREM,0.00062,6.49366,13.86146,12.61268,4.87024
NREM,0.0008,6.61854,13.61171,11.73854,6.36878
NREM,0.00066,7.3678,13.86146,13.23707,8.36683
NREM,0.00083,7.24293,13.61171,12.36293,6.11902
NREM,0.00067,7.11805,13.61171,12.86244,5.99415
NREM,0.00067,6.86829,12.98732,11.61366,7.11805
NREM,0.00086,7.3678,13.61171,12.86244,5.61951
NREM,0.00062,7.49268,13.73659,13.36195,5.99415
NREM,0.00073,7.11805,13.61171,12.73756,7.24293
NREM,0.00079,6.99317,13.61171,12.73756,6.86829
NREM,0.00078,6.99317,13.1122,11.3639,5.36976
NREM,0.00082,6.86829,12.98732,11.23902,5.61951
NREM,0.00067,6.99317,13.73659,12.73756,4.62049
NREM,0.00075,6.86829,12.98732,11.61366,6.61854
NREM,0.00069,6.99317,13.48683,12.4878,4.74537
NREM,0.00054,6.86829,13.86146,13.1122,5.99415
NREM,0.0007,6.86829,13.48683,12.4878,6.2439
NREM,0.00065,6.86829,13.61171,12.61268,6.2439
NREM,0.00069,6.99317,13.48683,11.98829,6.49366
NREM,0.00078,6.86829,12.36293,10.86439,6.99317
NREM,0.00086,6.86829,12.86244,11.11415,6.11902
NREM,0.00066,6.99317,13.73659,12.86244,6.74341
NREM,0.00055,7.24293,13.73659,12.73756,4.24585
NREM,0.00057,6.86829,13.23707,11.61366,7.11805
NREM,0.00053,6.74341,13.61171,12.61268,6.36878
NREM,0.0007,6.99317,13.36195,11.98829,6.99317
NREM,0.0006,6.74341,13.48683,11.86341,6.49366
NREM,0.00074,6.86829,13.36195,11.48878,4.24585
NREM,0.00076,6.61854,12.73756,11.23902,4.99512
NREM,0.00079,6.61854,13.23707,11.61366,5.24488
NREM,0.00067,6.99317,13.36195,11.98829,4.74537
NREM,0.00063,6.99317,13.73659,12.98732,5.99415
NREM,0.00075,6.99317,13.48683,11.73854,6.2439
NREM,0.00061,6.61854,13.61171,12.11317,4.24585
NREM,0.0006,6.49366,13.36195,12.36293,5.36976
NREM,0.0007,6.86829,12.98732,11.3639,5.36976
NREM,0.00081,6.99317,13.23707,11.73854,7.61756
NREM,0.0006,6.99317,13.98634,12.98732,6.11902
NREM,0.00064,6.86829,13.48683,12.11317,6.86829
NREM,0.00066,7.3678,13.48683,12.36293,6.61854
NREM,0.00073,6.99317,12.36293,10.86439,8.49171
NREM,0.00052,6.99317,13.86146,13.1122,5.99415
NREM,0.00064,6.86829,13.36195,12.11317,5.49463
NREM,0.00062,6.99317,13.36195,11.98829,5.12
NREM,0.00069,6.61854,12.36293,10.61463,6.36878
NREM,0.00076,7.3678,13.48683,12.86244,8.36683
NREM,0.00074,6.99317,12.73756,11.61366,6.74341
NREM,0.0005,6.86829,13.61171,12.61268,6.61854
NREM,0.00099,6.86829,12.73756,11.11415,7.3678
NREM,0.0005,7.49268,13.98634,13.23707,8.49171
NREM,0.0007,6.99317,13.1122,11.61366,8.61659
NREM,0.00074,6.49366,13.1122,11.61366,5.49463
NREM,0.00062,6.74341,12.98732,11.61366,6.61854
NREM,0.00072,6.74341,12.73756,11.23902,4.99512
NREM,0.00069,7.24293,13.23707,11.61366,6.49366
NREM,0.00071,6.86829,12.86244,11.11415,4.99512
NREM,0.00063,6.74341,13.1122,11.86341,4.12098
NREM,0.00071,6.74341,12.86244,11.48878,7.86732
NREM,0.00095,6.74341,13.1122,11.73854,7.61756
NREM,0.00064,8.36683,13.98634,13.1122,8.36683
NREM,0.00062,8.61659,15.11024,14.11122,6.61854
NREM,0.00066,8.74146,14.86049,14.2361,4.87024
NREM,0.00057,8.24195,14.48585,13.36195,7.74244
NREM,0.00069,8.36683,14.2361,13.73659,7.24293
NREM,0.00086,9.74049,15.11024,14.73561,7.24293
NREM,0.00067,9.1161,14.98537,14.2361,9.1161
NREM,0.00099,10.11512,17.6078,16.98341,10.24
NREM,0.00048,8.36683,14.48585,13.48683,10.61463
NREM,0.00057,8.99122,16.23415,15.60976,7.74244
NREM,0.00053,8.36683,14.86049,14.11122,5.99415
NREM,0.00062,9.1161,14.98537,14.2361,9.1161
NREM,0.00061,8.36683,14.11122,13.61171,9.86537
NREM,0.00083,10.48976,14.86049,14.2361,10.86439
NREM,0.00059,8.61659,15.36,14.48585,9.61561
NREM,0.00063,8.24195,14.2361,13.1122,8.86634
NREM,0.00045,8.74146,14.61073,13.73659,9.74049
NREM,0.00064,9.1161,15.48488,14.36098,7.86732
NREM,0.00073,9.86537,14.73561,14.11122,9.99024
NREM,0.00068,9.61561,15.60976,15.11024,10.11512
NREM,0.00083,9.99024,15.48488,14.73561,10.11512
NREM,0.00061,10.36488,15.48488,14.61073,10.36488
NREM,0.00055,10.36488,15.85951,15.36,10.48976
NREM,0.00051,9.49073,16.98341,16.23415,9.1161
NREM,0.00051,9.86537,16.35902,14.98537,10.24
NREM,0.0005,10.11512,16.23415,15.36,10.48976
NREM,0.00041,9.1161,16.23415,15.48488,8.49171
NREM,0.00047,9.36585,15.23512,14.73561,7.61756
NREM,0.0004,9.36585,15.85951,15.23512,10.11512
NREM,0.00074,10.73951,14.98537,13.98634,10.86439
NREM,0.00047,8.74146,16.23415,15.23512,8.24195
NREM,0.00058,10.48976,16.23415,15.60976,10.61463
NREM,0.00134,10.11512,15.23512,14.36098,10.11512
NREM,0.00062,10.61463,15.85951,15.23512,10.61463
NREM,0.00034,8.99122,16.23415,15.36,10.11512
NREM,0.00066,9.74049,15.36,14.73561,9.86537
NREM,0.00036,9.36585,15.98439,15.23512,8.49171
NREM,0.00038,8.86634,15.85951,15.11024,6.74341
NREM,0.0004,8.99122,16.10927,14.98537,9.99024
NREM,0.0005,7.74244,15.23512,14.61073,6.2439
NREM,0.00043,9.74049,16.35902,15.36,9.99024
NREM,0.00052,9.86537,15.73463,14.86049,10.36488
NREM,0.00039,8.36683,15.85951,14.86049,7.61756
NREM,0.00045,9.24098,15.98439,15.23512,6.36878
NREM,0.00044,8.99122,15.60976,15.11024,7.61756
NREM,0.00045,8.74146,15.60976,14.61073,8.11707
NREM,0.00043,9.1161,16.23415,14.98537,9.36585
NREM,0.00047,8.36683,15.73463,14.98537,6.99317
NREM,0.00051,9.49073,16.35902,15.73463,8.11707
NREM,0.00111,9.99024,17.48293,16.85854,10.11512
NREM,0.00033,10.98927,16.4839,15.98439,11.23902
NREM,0.00031,8.61659,15.48488,14.48585,8.49171
NREM,0.00039,8.74146,15.98439,14.86049,6.2439
NREM,0.0004,8.74146,14.98537,14.2361,7.11805
NREM,0.00041,7.9922,14.86049,13.98634,5.12
NREM,0.00053,7.49268,14.61073,13.1122,6.99317
NREM,0.00049,8.36683,14.61073,14.2361,6.49366
NREM,0.00043,8.11707,14.86049,13.86146,8.36683
NREM,0.00043,8.36683,15.11024,14.36098,8.99122
NREM,0.00033,8.61659,14.98537,14.36098,8.11707
NREM,0.00052,7.86732,14.98537,14.48585,7.61756
NREM,0.00048,7.9922,14.86049,14.11122,6.11902
NREM,0.00043,8.24195,15.11024,14.2361,7.24293
NREM,0.00053,7.74244,14.11122,13.1122,6.2439
NREM,0.00041,7.74244,14.73561,13.48683,6.2439
NREM,0.00057,8.11707,14.36098,13.1122,7.61756
NREM,0.00048,8.36683,14.98537,14.48585,7.61756
NREM,0.00052,8.36683,14.61073,13.73659,10.24
NREM,0.00053,9.1161,15.36,14.36098,9.49073
NREM,0.00073,9.74049,14.48585,13.98634,9.99024
