Sleep_Stage,MeanP_Delta_C4,MedianF_Delta_C4,MeanF_Delta_C4,Spectral Edge_Delta_C4,PeakF_Delta_C4
NREM,0.01621,0.74927,5.74439,2.12293,0.62439
NREM,0.01101,0.74927,5.49463,2.62244,0.62439
NREM,0.01533,0.74927,5.61951,1.99805,0.62439
NREM,0.00917,0.99902,5.99415,3.12195,0.87415
NREM,0.01276,0.99902,5.49463,2.62244,0.99902
NREM,0.00564,1.1239,6.36878,3.24683,0.62439
NREM,0.01397,0.99902,5.24488,2.49756,0.99902
NREM,0.0102,0.74927,5.61951,2.2478,0.74927
NREM,0.01453,0.74927,5.36976,1.99805,0.62439
NREM,0.01438,0.74927,5.49463,2.2478,0.74927
NREM,0.01643,0.87415,4.74537,2.2478,0.62439
NREM,0.01506,0.62439,4.74537,1.99805,0.62439
NREM,0.01598,0.62439,4.74537,1.99805,0.49951
NREM,0.01587,0.87415,4.87024,2.12293,0.62439
NREM,0.01941,0.74927,4.87024,1.87317,0.74927
NREM,0.02602,0.74927,4.37073,1.74829,0.74927
NREM,0.02414,0.74927,4.24585,1.87317,0.74927
NREM,0.02298,0.62439,4.49561,1.74829,0.62439
NREM,0.02205,0.74927,4.49561,1.74829,0.62439
NREM,0.01624,0.87415,4.74537,2.49756,0.49951
NREM,0.02984,0.74927,3.9961,1.62341,0.62439
NREM,0.02292,0.87415,4.24585,2.12293,0.87415
NREM,0.02549,0.74927,4.37073,1.87317,0.74927
NREM,0.02903,0.74927,3.9961,1.62341,0.74927
NREM,0.01983,0.74927,4.37073,2.12293,0.74927
NREM,0.02501,0.62439,4.37073,1.74829,0.49951
NREM,0.0212,0.74927,4.49561,1.87317,0.62439
NREM,0.02189,0.87415,4.49561,1.87317,0.87415
NREM,0.01948,0.74927,4.37073,1.74829,0.49951
NREM,0.02108,0.87415,4.62049,2.2478,0.62439
NREM,0.01772,0.74927,4.74537,1.99805,0.62439
NREM,0.01248,0.87415,4.74537,1.87317,0.74927
NREM,0.02188,0.62439,4.74537,2.12293,0.62439
NREM,0.01237,1.37366,5.24488,2.74732,1.1239
NREM,0.0135,0.99902,6.2439,2.99707,0.62439
NREM,0.00457,1.24878,6.74341,3.87122,0.62439
NREM,0.00767,1.1239,6.74341,3.62146,0.99902
NREM,0.0119,0.99902,6.49366,3.12195,0.87415
NREM,0.00428,1.1239,6.86829,3.87122,0.99902
REM,0.00345,1.24878,7.24293,3.62146,0.62439
REM,0.00587,1.1239,6.99317,3.49659,0.74927
REM,0.0045,0.99902,6.99317,3.74634,0.62439
REM,0.00357,0.87415,6.86829,3.37171,0.49951
REM,0.0029,1.1239,7.11805,3.62146,0.99902
NREM,0.00853,0.99902,6.99317,3.24683,0.62439
REM,0.00406,0.87415,6.49366,3.24683,0.74927
REM,0.004,1.24878,7.11805,3.74634,0.74927
REM,0.00482,1.1239,6.86829,3.49659,1.1239
NREM,0.01079,0.99902,6.61854,3.12195,0.62439
NREM,0.00978,1.24878,6.61854,4.12098,0.62439
NREM,0.00276,1.24878,7.24293,4.49561,0.49951
REM,0.00298,0.99902,7.11805,3.9961,0.74927
REM,0.00237,1.62341,7.61756,5.24488,0.74927
REM,0.00404,0.99902,7.24293,3.74634,0.49951
REM,0.00292,1.1239,6.99317,3.62146,0.99902
REM,0.00308,1.1239,7.3678,3.24683,0.49951
REM,0.00296,0.99902,7.49268,4.24585,0.62439
REM,0.00208,1.1239,6.86829,3.49659,0.62439
REM,0.00172,1.24878,7.49268,4.37073,0.74927
REM,0.00224,0.99902,7.24293,3.74634,0.74927
REM,0.00252,0.87415,7.24293,3.49659,0.74927
REM,0.00191,0.99902,7.24293,3.74634,0.87415
REM,0.00564,0.99902,6.2439,2.62244,0.62439
REM,0.00476,0.87415,6.11902,2.62244,0.62439
REM,0.00225,0.99902,7.11805,3.49659,0.62439
REM,0.00318,0.87415,6.36878,2.74732,0.62439
REM,0.00477,0.74927,6.99317,2.74732,0.62439
REM,0.00322,1.1239,7.3678,3.62146,0.49951
REM,0.0041,0.87415,6.74341,3.24683,0.74927
REM,0.00455,0.99902,6.49366,2.8722,0.74927
REM,0.00336,1.1239,7.61756,4.24585,0.49951
REM,0.00233,0.99902,7.74244,3.74634,0.62439
REM,0.00239,1.37366,7.49268,4.37073,0.74927
REM,0.00409,0.99902,6.61854,2.99707,0.49951
REM,0.00254,0.99902,6.61854,3.24683,0.49951
REM,0.00468,0.74927,6.49366,2.62244,0.62439
REM,0.00474,1.1239,7.11805,4.37073,0.49951
REM,0.00462,0.99902,5.99415,2.74732,0.99902
REM,0.00463,0.87415,6.2439,2.37268,0.62439
REM,0.00513,0.99902,7.49268,2.74732,0.49951
REM,0.00258,1.62341,7.49268,5.49463,0.62439
REM,0.00273,1.37366,7.86732,5.99415,0.74927
REM,0.00445,0.87415,6.49366,2.8722,0.87415
REM,0.00293,0.99902,7.24293,3.74634,0.62439
REM,0.00259,1.37366,7.61756,5.12,0.62439
REM,0.00218,0.87415,6.86829,3.49659,0.62439
REM,0.00306,1.1239,7.49268,3.62146,0.49951
REM,0.00662,0.74927,4.74537,2.12293,0.62439
REM,0.00578,0.74927,6.2439,2.49756,0.49951
REM,0.00291,1.24878,7.74244,5.12,0.62439
REM,0.00284,1.37366,7.74244,4.87024,0.62439
REM,0.00315,0.87415,6.36878,2.99707,0.62439
REM,0.00331,0.62439,5.74439,2.62244,0.49951
REM,0.00457,0.99902,5.86927,2.49756,0.87415
REM,0.00371,0.99902,6.49366,2.99707,1.1239
REM,0.00333,1.24878,7.49268,4.49561,0.62439
REM,0.00131,1.49854,7.24293,3.87122,0.49951
REM,0.00523,0.99902,5.24488,2.37268,0.62439
REM,0.005,0.74927,5.36976,2.37268,0.49951
REM,0.00395,0.87415,5.61951,2.62244,0.74927
REM,0.00398,0.99902,5.36976,2.62244,0.87415
REM,0.0036,0.99902,7.11805,3.37171,0.49951
NREM,0.00189,1.74829,7.74244,6.11902,1.74829
NREM,0.00258,1.37366,7.49268,4.99512,0.62439
NREM,0.00188,1.37366,7.3678,3.62146,0.49951
NREM,0.00242,1.37366,7.74244,5.24488,0.62439
NREM,0.00391,1.1239,7.3678,5.12,0.74927
NREM,0.00328,1.24878,7.3678,5.12,0.87415
REM,0.00158,1.49854,7.86732,4.12098,0.49951
REM,0.00174,1.49854,7.86732,4.49561,0.74927
REM,0.00228,1.1239,7.24293,3.62146,0.74927
REM,0.00153,1.24878,7.3678,4.24585,0.99902
REM,0.00227,1.1239,7.49268,3.12195,0.74927
REM,0.0031,0.87415,6.49366,3.12195,0.49951
REM,0.00195,1.1239,7.86732,4.37073,0.74927
REM,0.00125,1.62341,7.86732,4.37073,0.74927
REM,0.00234,1.24878,7.61756,3.87122,0.99902
REM,0.00297,0.87415,7.11805,3.49659,0.49951
REM,0.0028,0.87415,7.3678,3.74634,0.49951
REM,0.00195,0.99902,8.24195,3.9961,0.37463
REM,0.00129,2.12293,8.49171,4.62049,0.87415
REM,0.00158,1.49854,7.9922,4.62049,0.37463
REM,0.00243,1.37366,7.11805,3.74634,0.74927
REM,0.00221,0.99902,7.3678,3.62146,0.62439
REM,0.00144,1.24878,8.11707,3.9961,0.99902
REM,0.00515,0.87415,7.11805,2.62244,0.62439
REM,0.00171,0.99902,7.74244,4.62049,0.87415
REM,0.00185,1.24878,7.49268,4.12098,0.49951
REM,0.0013,1.49854,7.61756,4.24585,0.49951
REM,0.00131,1.37366,7.74244,4.24585,0.99902
NREM,0.00332,1.1239,7.61756,4.12098,0.74927
REM,0.00172,1.1239,7.9922,4.24585,1.24878
REM,0.00405,0.87415,6.49366,2.74732,0.62439
REM,0.00235,0.99902,6.61854,3.62146,0.99902
REM,0.00183,1.24878,8.49171,5.61951,0.49951
REM,0.00282,1.1239,7.49268,4.12098,0.49951
REM,0.00219,1.49854,7.74244,4.62049,0.74927
REM,0.00309,0.99902,7.49268,3.37171,1.1239
REM,0.0061,0.99902,6.2439,2.2478,0.87415
REM,0.00254,1.24878,6.86829,3.74634,0.87415
REM,0.00204,1.1239,7.3678,3.87122,0.74927
REM,0.00117,1.74829,7.11805,4.24585,0.62439
REM,0.00224,1.24878,6.2439,3.37171,0.62439
REM,0.00262,1.1239,7.3678,4.87024,0.74927
REM,0.00167,0.87415,7.49268,4.12098,0.49951
REM,0.00133,1.24878,7.11805,3.87122,0.62439
REM,0.00129,1.62341,8.24195,5.12,0.62439
REM,0.00145,1.24878,7.9922,4.12098,0.62439
REM,0.0016,1.1239,7.3678,4.37073,0.74927
REM,0.00161,1.37366,7.11805,3.87122,0.49951
REM,0.00169,1.1239,7.86732,4.12098,0.62439
REM,0.0019,1.24878,7.61756,4.49561,0.62439
REM,0.00227,1.1239,7.74244,3.9961,0.74927
REM,0.00204,1.1239,6.86829,3.62146,0.62439
REM,0.00186,1.37366,7.9922,4.99512,1.1239
REM,0.00291,1.24878,6.99317,3.87122,0.87415
NREM,0.00174,1.37366,7.86732,4.12098,1.24878
NREM,0.00271,1.1239,7.24293,3.12195,0.74927
NREM,0.00203,0.74927,8.24195,3.74634,0.37463
NREM,0.00201,1.1239,7.49268,3.49659,0.62439
NREM,0.00202,1.37366,7.9922,5.49463,0.74927
NREM,0.00136,1.1239,7.74244,3.9961,0.74927
NREM,0.00279,1.24878,7.61756,5.86927,0.74927
NREM,0.00247,1.1239,7.74244,4.24585,0.49951
NREM,0.00217,0.62439,7.74244,3.37171,0.62439
NREM,0.00323,0.99902,7.11805,3.24683,0.49951
NREM,0.00425,1.1239,6.11902,3.12195,0.62439
NREM,0.00185,1.1239,7.74244,3.74634,0.74927
NREM,0.00344,1.1239,6.86829,3.62146,0.87415
NREM,0.00192,1.24878,6.86829,3.62146,0.62439
NREM,0.00214,1.1239,7.86732,3.49659,0.62439
NREM,0.00351,0.99902,6.99317,3.24683,0.99902
NREM,0.00287,0.99902,7.3678,4.37073,0.74927
NREM,0.00328,0.99902,7.86732,3.49659,0.99902
NREM,0.00231,0.99902,7.9922,3.49659,0.74927
NREM,0.00146,1.37366,7.9922,3.9961,0.62439
NREM,0.00289,1.24878,7.86732,3.37171,0.99902
NREM,0.00396,0.74927,6.74341,2.62244,0.74927
NREM,0.00274,0.99902,7.74244,3.49659,0.87415
NREM,0.00615,1.1239,7.24293,3.24683,0.87415
NREM,0.00237,1.24878,7.49268,3.49659,0.62439
NREM,0.00671,1.24878,7.11805,3.37171,0.87415
NREM,0.00273,1.1239,7.24293,3.62146,0.74927
NREM,0.00192,1.49854,8.24195,3.49659,0.37463
NREM,0.00329,1.24878,7.49268,3.62146,0.62439
NREM,0.00684,0.74927,6.86829,2.74732,0.49951
NREM,0.00334,1.1239,7.61756,3.9961,0.49951
NREM,0.00614,0.87415,6.61854,3.12195,0.87415
NREM,0.00448,0.99902,7.11805,3.24683,0.62439
NREM,0.00873,0.87415,6.61854,3.12195,0.62439
NREM,0.00387,1.1239,7.24293,3.62146,0.99902
NREM,0.00697,0.87415,6.86829,2.8722,0.74927
NREM,0.00552,0.99902,6.86829,3.37171,0.74927
NREM,0.01875,0.87415,5.74439,2.2478,0.62439
NREM,0.01268,0.99902,5.86927,2.2478,0.99902
NREM,0.00474,1.1239,7.11805,3.49659,1.1239
NREM,0.006,1.24878,6.74341,2.99707,0.49951
NREM,0.00832,0.74927,6.74341,3.12195,0.62439
NREM,0.0085,0.99902,6.36878,2.8722,0.87415
NREM,0.00926,0.99902,6.36878,3.12195,0.62439
NREM,0.00689,0.87415,6.61854,2.74732,0.62439
NREM,0.01433,0.74927,5.49463,2.12293,0.62439
NREM,0.01129,0.87415,6.49366,2.49756,0.74927
NREM,0.01165,0.87415,5.99415,2.2478,0.87415
NREM,0.01263,0.87415,5.99415,2.37268,0.74927
NREM,0.01767,0.74927,5.24488,1.87317,0.49951
NREM,0.02021,0.74927,4.87024,1.87317,0.62439
NREM,0.01225,0.74927,5.49463,2.2478,0.62439
NREM,0.01869,0.74927,4.62049,1.87317,0.49951
NREM,0.01603,0.87415,5.49463,1.87317,0.99902
NREM,0.01047,0.87415,5.12,2.37268,0.87415
NREM,0.01592,0.74927,4.99512,1.99805,0.62439
NREM,0.02049,0.74927,4.99512,2.12293,0.62439
NREM,0.02201,0.62439,4.74537,1.62341,0.62439
NREM,0.01753,0.74927,4.62049,1.99805,0.62439
NREM,0.02065,0.62439,4.74537,1.74829,0.49951
NREM,0.02192,0.87415,4.37073,1.87317,0.62439
NREM,0.02315,0.62439,4.87024,1.37366,0.49951
NREM,0.02526,0.74927,5.36976,1.87317,0.62439
NREM,0.01693,0.87415,6.36878,2.62244,0.99902
NREM,0.00561,1.1239,7.61756,4.62049,0.62439
NREM,0.0051,0.99902,7.61756,4.12098,0.62439
NREM,0.00492,1.1239,7.74244,4.99512,0.62439
NREM,0.0047,0.74927,7.61756,3.87122,0.49951
NREM,0.00662,0.87415,7.61756,3.49659,0.49951
NREM,0.00433,0.99902,7.61756,3.9961,0.62439
NREM,0.00489,0.87415,7.61756,5.49463,0.49951
NREM,0.00403,0.87415,7.86732,4.12098,0.74927
NREM,0.00438,0.99902,7.86732,5.36976,0.49951
NREM,0.00273,1.99805,7.61756,5.61951,0.74927
NREM,0.00191,1.37366,7.61756,4.49561,0.74927
NREM,0.00371,1.49854,7.74244,5.24488,0.74927
NREM,0.00314,1.62341,7.61756,5.49463,0.99902
NREM,0.00279,1.37366,7.86732,6.36878,0.87415
NREM,0.00246,1.87317,7.86732,6.11902,0.62439
NREM,0.00314,0.99902,7.74244,4.37073,0.62439
NREM,0.00382,0.99902,7.49268,4.74537,0.74927
NREM,0.00624,1.1239,7.11805,2.99707,1.1239
NREM,0.00352,0.99902,7.3678,3.74634,0.87415
NREM,0.0024,1.1239,7.49268,3.87122,1.1239
NREM,0.00222,1.24878,7.49268,3.87122,0.87415
NREM,0.00488,1.24878,7.11805,3.24683,0.87415
NREM,0.0043,1.1239,7.24293,3.74634,0.87415
NREM,0.0025,0.99902,7.3678,3.74634,0.74927
NREM,0.00351,1.1239,6.74341,3.37171,0.87415
NREM,0.00178,1.37366,7.86732,3.9961,0.49951
NREM,0.00556,0.99902,7.24293,3.24683,0.99902
NREM,0.0025,1.49854,7.49268,3.37171,1.62341
NREM,0.0027,1.24878,7.74244,3.9961,1.37366
NREM,0.00809,0.99902,6.61854,2.99707,0.87415
NREM,0.00346,1.24878,7.24293,3.87122,0.62439
NREM,0.00431,1.1239,7.49268,3.62146,0.62439
NREM,0.00272,1.37366,7.49268,3.62146,0.49951
NREM,0.00405,1.49854,7.11805,3.62146,0.62439
NREM,0.01033,0.87415,6.11902,2.74732,0.74927
NREM,0.00292,1.24878,7.49268,4.12098,0.62439
NREM,0.00451,0.99902,7.24293,3.37171,0.62439
NREM,0.0056,1.1239,7.11805,3.62146,0.99902
NREM,0.00406,1.37366,7.24293,3.62146,0.87415
NREM,0.00642,0.99902,6.86829,3.12195,0.87415
NREM,0.00608,0.99902,6.99317,3.12195,0.87415
NREM,0.01435,0.74927,6.61854,2.62244,0.62439
NREM,0.00745,0.87415,7.61756,3.9961,0.74927
NREM,0.00276,0.87415,7.11805,3.37171,0.62439
NREM,0.00331,0.99902,7.86732,3.62146,0.62439
NREM,0.00747,0.87415,7.3678,3.24683,0.62439
NREM,0.00447,0.99902,7.3678,3.37171,0.87415
NREM,0.00346,0.99902,7.11805,3.74634,0.87415
NREM,0.0055,0.99902,7.24293,3.49659,0.87415
NREM,0.00591,1.1239,6.61854,3.24683,1.1239
NREM,0.00789,0.99902,6.86829,2.74732,0.74927
NREM,0.00691,0.99902,6.61854,3.12195,0.99902
NREM,0.00738,1.1239,6.49366,3.24683,0.62439
NREM,0.00898,0.87415,6.49366,2.74732,0.62439
NREM,0.0134,0.74927,6.36878,2.49756,0.74927
NREM,0.00886,0.87415,6.36878,2.62244,0.87415
NREM,0.02045,0.62439,5.61951,1.74829,0.62439
NREM,0.02057,0.74927,5.12,1.87317,0.62439
NREM,0.0133,0.74927,5.36976,2.12293,0.62439
NREM,0.01857,0.62439,5.61951,1.87317,0.49951
NREM,0.01751,0.74927,4.99512,1.87317,0.62439
NREM,0.02636,0.62439,4.87024,1.74829,0.62439
NREM,0.0153,0.74927,4.87024,2.2478,0.74927
NREM,0.01637,0.62439,4.99512,2.12293,0.49951
NREM,0.01739,0.62439,5.12,1.99805,0.62439
NREM,0.01651,0.62439,4.62049,1.87317,0.62439
NREM,0.02021,0.62439,4.49561,1.62341,0.62439
NREM,0.01822,0.74927,4.62049,1.99805,0.49951
NREM,0.01323,0.74927,5.61951,2.12293,0.74927
NREM,0.02475,0.62439,4.49561,1.74829,0.62439
NREM,0.0201,0.74927,4.49561,1.87317,0.49951
NREM,0.01578,0.74927,4.49561,1.99805,0.62439
NREM,0.02153,0.62439,4.62049,1.49854,0.49951
NREM,0.01835,0.74927,4.87024,2.12293,0.62439
NREM,0.01815,0.74927,4.49561,1.87317,0.74927
NREM,0.02129,0.74927,4.74537,1.99805,0.87415
NREM,0.01873,0.99902,4.62049,1.87317,1.1239
NREM,0.00843,0.87415,5.86927,2.74732,0.49951
NREM,0.00788,0.99902,5.86927,2.8722,0.87415
NREM,0.01327,0.74927,5.36976,2.2478,0.62439
NREM,0.01619,0.74927,4.74537,1.99805,0.62439
NREM,0.01757,0.62439,4.99512,1.87317,0.62439
NREM,0.01743,0.62439,4.87024,1.87317,0.49951
NREM,0.02019,0.62439,4.87024,1.49854,0.49951
NREM,0.01795,0.74927,4.62049,2.12293,0.74927
NREM,0.02106,0.74927,4.62049,1.87317,0.49951
NREM,0.02111,0.87415,4.24585,1.74829,0.62439
NREM,0.01654,0.87415,4.74537,1.99805,0.49951
NREM,0.02953,0.74927,4.24585,1.49854,0.87415
NREM,0.02041,0.87415,4.74537,1.99805,0.87415
NREM,0.01866,0.62439,4.37073,1.62341,0.62439
NREM,0.02378,0.74927,4.37073,1.49854,0.74927
NREM,0.02024,0.74927,4.62049,2.2478,0.49951
NREM,0.02083,0.74927,4.62049,2.12293,0.62439
NREM,0.02801,0.62439,4.37073,1.87317,0.62439
NREM,0.02816,0.74927,4.37073,1.99805,0.74927
NREM,0.01216,0.87415,4.74537,2.37268,0.74927
NREM,0.01796,0.74927,4.62049,1.99805,0.62439
NREM,0.03686,0.87415,4.62049,2.12293,0.74927
NREM,0.01469,0.87415,5.24488,2.2478,0.74927
NREM,0.01825,0.87415,4.74537,2.2478,0.74927
NREM,0.01684,0.74927,5.99415,2.12293,0.74927
NREM,0.02186,0.87415,5.74439,2.37268,0.49951
NREM,0.02183,0.99902,5.61951,2.37268,0.87415
NREM,0.02364,0.87415,5.36976,1.99805,0.87415
NREM,0.02236,0.87415,5.74439,2.2478,0.87415
NREM,0.01212,0.74927,6.49366,2.99707,0.49951
NREM,0.01367,1.1239,6.2439,2.99707,0.74927
NREM,0.00728,0.99902,6.61854,4.12098,0.62439
NREM,0.02252,0.87415,5.99415,2.62244,0.74927
NREM,0.01061,0.87415,6.49366,3.12195,0.62439
NREM,0.00736,1.24878,6.11902,3.62146,0.62439
NREM,0.01372,0.99902,6.2439,2.99707,0.74927
NREM,0.00684,0.99902,6.2439,3.24683,0.62439
NREM,0.00295,1.62341,6.61854,4.24585,0.87415
NREM,0.00405,1.37366,7.11805,4.12098,0.62439
NREM,0.01075,0.99902,6.49366,3.12195,0.99902
NREM,0.00403,0.99902,7.3678,4.49561,0.62439
NREM,0.00864,0.87415,6.86829,2.8722,0.87415
NREM,0.0058,1.24878,6.99317,4.12098,1.1239
REM,0.00171,1.37366,6.74341,4.37073,0.74927
REM,0.00408,1.24878,6.86829,3.49659,0.62439
REM,0.00359,1.62341,7.11805,4.24585,0.74927
REM,0.0096,0.99902,6.49366,2.37268,1.1239
REM,0.00343,0.99902,7.3678,3.87122,0.87415
REM,0.00497,1.37366,6.86829,4.62049,0.74927
REM,0.00774,1.1239,6.49366,3.12195,0.62439
REM,0.0048,1.1239,7.11805,3.9961,0.99902
REM,0.00816,1.24878,6.74341,3.74634,0.62439
REM,0.00351,1.24878,6.99317,4.62049,0.49951
REM,0.00316,1.1239,7.24293,4.74537,0.74927
REM,0.00221,1.49854,6.74341,5.12,0.62439
REM,0.00559,1.1239,6.86829,3.87122,0.99902
REM,0.00252,1.24878,6.74341,4.24585,1.1239
REM,0.00345,1.24878,6.86829,4.24585,0.74927
REM,0.00138,1.37366,7.49268,4.62049,0.37463
REM,0.00276,1.1239,7.24293,4.74537,0.99902
REM,0.00216,0.99902,7.24293,4.24585,0.74927
REM,0.00225,1.24878,6.86829,4.49561,0.37463
REM,0.00831,0.99902,6.86829,2.8722,0.99902
REM,0.00415,1.24878,7.24293,5.24488,1.1239
REM,0.00181,1.37366,7.61756,4.74537,0.62439
REM,0.00293,0.99902,7.49268,4.12098,0.49951
REM,0.00417,1.37366,6.74341,3.9961,0.74927
REM,0.0036,1.62341,6.61854,4.37073,0.49951
REM,0.0036,0.99902,6.86829,3.87122,0.49951
REM,0.00221,1.24878,7.3678,4.37073,0.62439
REM,0.0032,0.99902,6.86829,3.49659,0.49951
REM,0.00295,0.99902,7.11805,3.62146,0.62439
REM,0.00273,1.37366,7.3678,4.24585,0.99902
REM,0.00404,0.99902,7.24293,4.12098,0.74927
REM,0.0027,1.24878,7.74244,4.24585,0.49951
REM,0.00805,0.99902,6.2439,3.62146,0.62439
REM,0.00519,0.99902,7.24293,4.24585,0.74927
REM,0.00379,0.87415,7.24293,3.49659,0.49951
REM,0.00495,0.99902,6.86829,3.49659,0.62439
NREM,0.00736,0.99902,6.49366,3.87122,0.62439
NREM,0.00283,0.87415,6.99317,3.49659,0.74927
NREM,0.00202,1.37366,7.24293,3.9961,1.1239
NREM,0.00729,0.74927,6.99317,3.49659,0.74927
NREM,0.00212,1.49854,7.61756,4.87024,0.62439
NREM,0.0082,0.87415,6.99317,3.12195,0.62439
NREM,0.00135,1.1239,7.86732,4.37073,0.62439
NREM,0.00146,1.1239,7.9922,4.49561,0.62439
NREM,0.00243,1.1239,7.61756,3.62146,0.62439
NREM,0.00266,1.1239,7.74244,4.12098,0.62439
NREM,0.00466,0.99902,7.61756,3.87122,0.49951
NREM,0.00558,0.99902,7.3678,3.74634,0.99902
NREM,0.00278,1.49854,7.61756,3.74634,1.74829
NREM,0.00433,1.1239,6.99317,3.12195,1.24878
NREM,0.0021,1.49854,7.86732,4.24585,0.49951
NREM,0.00578,0.99902,6.36878,3.49659,0.87415
NREM,0.0021,1.49854,7.86732,4.24585,0.49951
NREM,0.00221,1.37366,7.9922,4.12098,1.1239
NREM,0.00241,1.24878,7.74244,4.12098,0.99902
NREM,0.00305,1.37366,7.61756,3.87122,0.62439
NREM,0.00263,0.99902,7.74244,4.24585,0.62439
NREM,0.00429,0.87415,7.61756,3.37171,0.62439
NREM,0.00309,1.1239,7.74244,4.24585,0.62439
NREM,0.0056,0.99902,6.99317,3.12195,0.62439
NREM,0.00312,1.24878,7.49268,4.37073,1.37366
NREM,0.0086,0.87415,7.11805,2.62244,0.74927
NREM,0.00636,0.87415,7.11805,3.49659,0.62439
NREM,0.00346,1.49854,7.49268,4.12098,0.87415
NREM,0.0031,1.24878,7.61756,4.24585,0.87415
NREM,0.00421,0.99902,7.61756,3.87122,0.62439
NREM,0.00523,0.87415,7.24293,3.12195,0.74927
NREM,0.00367,1.49854,7.24293,3.87122,0.87415
NREM,0.01124,0.99902,6.2439,3.12195,0.49951
NREM,0.0045,1.24878,7.11805,3.49659,0.49951
NREM,0.00605,0.87415,7.61756,3.87122,0.62439
NREM,0.00195,1.24878,7.86732,4.37073,0.87415
NREM,0.00346,0.99902,7.24293,3.37171,0.49951
NREM,0.0062,0.99902,6.99317,2.99707,0.74927
NREM,0.00095,0.87415,7.11805,2.99707,0.62439
NREM,0.00115,1.1239,7.11805,3.62146,1.1239
NREM,0.00102,0.99902,7.9922,3.24683,0.74927
NREM,0.0008,0.87415,7.9922,3.12195,0.74927
NREM,0.00111,1.1239,7.3678,3.49659,0.74927
NREM,0.00132,1.49854,7.3678,3.24683,0.87415
NREM,0.00318,1.37366,5.12,3.12195,0.99902
NREM,0.00172,1.87317,6.11902,3.37171,0.49951
NREM,0.00244,1.1239,5.74439,3.12195,0.87415
NREM,0.00285,1.24878,5.36976,3.12195,1.24878
NREM,0.00268,1.62341,5.49463,3.12195,1.1239
NREM,0.00292,1.1239,5.61951,2.8722,0.37463
NREM,0.00438,1.1239,5.36976,2.8722,1.1239
NREM,0.00108,0.62439,7.24293,2.12293,0.49951
NREM,0.0028,1.37366,5.49463,2.74732,0.62439
NREM,0.00054,0.99902,8.24195,3.62146,0.99902
NREM,0.00067,1.1239,7.74244,3.62146,0.87415
NREM,0.00097,0.87415,6.74341,2.8722,0.49951
NREM,0.00076,0.87415,6.74341,2.74732,0.87415
NREM,0.00072,0.74927,7.49268,2.99707,0.62439
NREM,0.00108,0.74927,6.86829,2.49756,0.49951
NREM,0.0011,0.87415,6.36878,2.49756,0.62439
NREM,0.00087,0.99902,7.74244,3.49659,0.49951
NREM,0.00115,1.1239,6.86829,3.12195,0.62439
NREM,0.00138,1.24878,7.11805,3.24683,1.24878
NREM,0.00084,1.1239,7.9922,3.37171,0.37463
NREM,0.00235,1.37366,5.86927,2.99707,0.49951
NREM,0.00099,0.87415,7.49268,3.24683,0.74927
NREM,0.00303,1.37366,4.99512,3.12195,1.1239
NREM,0.00141,1.24878,7.3678,3.62146,1.1239
NREM,0.00095,1.62341,7.61756,3.74634,1.37366
NREM,0.00286,1.1239,6.11902,3.12195,0.74927
NREM,0.00124,1.24878,6.74341,3.62146,0.74927
NREM,0.00168,1.1239,6.2439,2.99707,0.62439
NREM,0.00173,0.99902,5.99415,2.8722,0.74927
NREM,0.00431,1.24878,4.87024,2.8722,1.1239
NREM,0.00175,1.37366,5.86927,3.12195,1.62341
NREM,0.00408,0.99902,5.12,2.49756,0.99902
NREM,0.00124,1.1239,6.11902,3.12195,0.49951
NREM,0.00213,1.49854,5.49463,2.99707,1.74829
NREM,0.00298,1.37366,5.24488,2.99707,0.74927
NREM,0.00169,1.24878,5.99415,3.37171,0.49951
NREM,0.00238,1.24878,5.24488,2.8722,1.1239
NREM,0.00276,1.24878,5.61951,2.99707,0.99902
NREM,0.00231,1.24878,5.49463,2.8722,1.1239
NREM,0.0038,1.24878,5.12,2.99707,1.24878
NREM,0.00181,1.74829,6.36878,2.99707,1.87317
NREM,0.00173,1.37366,6.86829,3.74634,0.49951
NREM,0.00212,0.87415,6.86829,2.12293,0.74927
NREM,0.00062,0.62439,7.11805,2.8722,0.37463
NREM,0.0006,0.74927,7.61756,2.74732,0.62439
NREM,0.00037,0.87415,8.49171,3.24683,0.62439
NREM,0.00105,0.99902,6.61854,3.24683,0.49951
NREM,0.00087,0.87415,7.3678,3.12195,0.49951
NREM,0.0012,1.1239,6.61854,2.8722,0.37463
NREM,0.00117,1.37366,6.74341,3.49659,0.74927
NREM,0.00178,1.1239,5.99415,2.8722,0.99902
NREM,0.00243,1.49854,5.99415,2.8722,2.12293
NREM,0.00169,1.37366,5.86927,3.37171,0.87415
NREM,0.00307,0.99902,5.36976,2.74732,1.1239
NREM,0.00073,0.99902,7.3678,3.49659,0.49951
NREM,0.00127,1.1239,7.86732,3.74634,1.1239
NREM,0.00071,1.24878,6.74341,3.24683,0.62439
NREM,0.00117,1.24878,6.2439,3.24683,0.62439
NREM,0.00218,1.1239,5.49463,2.62244,0.74927
NREM,0.00117,0.99902,6.49366,3.12195,0.74927
NREM,0.00183,1.62341,5.74439,2.99707,1.62341
NREM,0.00084,0.87415,6.74341,3.24683,0.62439
NREM,0.00156,1.1239,5.99415,2.74732,1.24878
NREM,0.00135,0.87415,5.99415,2.74732,0.49951
NREM,0.00082,1.24878,6.49366,3.74634,0.99902
