Sleep_Stage,MeanP_Alpha_C4,MedianF_Alpha_C4,MeanF_Alpha_C4,Spectral Edge_Alpha_C4,PeakF_Alpha_C4
NREM,0.00216,8.99122,14.2361,13.36195,9.99024
NREM,0.00103,8.99122,13.61171,13.36195,13.23707
NREM,0.00124,8.11707,13.73659,12.61268,7.11805
NREM,0.00161,8.74146,13.86146,13.23707,7.24293
NREM,0.00101,9.1161,13.73659,13.48683,13.36195
NREM,0.00132,8.99122,13.61171,13.23707,13.1122
NREM,0.0015,8.24195,13.48683,13.1122,6.86829
NREM,0.00144,7.86732,13.23707,12.73756,7.24293
NREM,0.00215,8.74146,12.98732,11.73854,9.99024
NREM,0.00125,8.24195,13.61171,12.23805,6.74341
NREM,0.00183,8.61659,13.61171,13.36195,13.23707
NREM,0.00129,7.9922,13.73659,12.61268,7.86732
NREM,0.00158,8.99122,13.36195,13.1122,7.3678
NREM,0.00165,7.9922,13.48683,12.98732,7.9922
NREM,0.0015,8.24195,13.61171,13.23707,7.61756
NREM,0.00155,8.61659,13.48683,12.98732,8.24195
NREM,0.00152,8.36683,13.23707,12.61268,5.12
NREM,0.00207,8.11707,13.61171,12.98732,6.86829
NREM,0.00176,8.86634,13.36195,13.1122,6.99317
NREM,0.00182,8.24195,12.86244,12.61268,7.24293
NREM,0.00178,8.36683,13.48683,13.1122,8.24195
NREM,0.00135,8.11707,13.61171,13.23707,7.24293
NREM,0.00169,8.99122,13.61171,13.36195,7.74244
NREM,0.00147,7.74244,12.98732,11.98829,7.24293
NREM,0.00154,7.9922,13.73659,13.36195,7.86732
NREM,0.00129,7.9922,13.61171,12.86244,8.99122
NREM,0.00149,8.49171,13.98634,13.61171,7.24293
NREM,0.00117,9.49073,13.48683,12.86244,10.98927
NREM,0.00146,7.61756,13.73659,12.73756,7.74244
NREM,0.00149,7.9922,13.86146,13.1122,8.24195
NREM,0.00141,8.24195,13.98634,13.23707,9.86537
NREM,0.00214,8.99122,14.11122,13.61171,9.49073
NREM,0.00134,7.86732,13.86146,12.36293,5.36976
NREM,0.00179,7.3678,13.48683,12.98732,6.99317
NREM,0.00134,8.74146,13.98634,13.36195,8.74146
NREM,0.00143,8.36683,13.73659,12.73756,11.11415
REM,0.00116,8.11707,13.86146,13.36195,8.24195
REM,0.00137,7.49268,13.98634,13.1122,6.36878
REM,0.00106,9.1161,15.36,14.36098,9.1161
REM,0.00095,8.74146,14.73561,13.61171,10.24
REM,0.00135,9.36585,16.98341,16.10927,7.74244
REM,0.00081,8.86634,15.48488,14.48585,5.61951
REM,0.00111,9.61561,15.36,14.48585,7.9922
REM,0.00117,9.36585,16.10927,14.98537,8.86634
REM,0.00087,9.1161,15.48488,14.36098,9.24098
REM,0.00095,9.24098,16.35902,15.60976,9.24098
REM,0.00085,8.24195,15.23512,14.36098,6.2439
REM,0.00065,9.74049,16.35902,15.23512,10.11512
REM,0.00251,11.3639,18.98146,18.85659,8.61659
REM,0.00121,9.1161,15.98439,15.23512,7.11805
REM,0.00092,8.24195,15.36,14.11122,8.24195
REM,0.00079,8.49171,15.60976,14.48585,8.74146
REM,0.00091,8.86634,15.85951,14.61073,8.74146
REM,0.00086,8.86634,15.73463,14.73561,9.74049
REM,0.00091,8.74146,16.10927,14.98537,8.74146
REM,0.00077,9.1161,15.98439,15.11024,10.86439
REM,0.00067,9.24098,16.10927,15.11024,8.74146
REM,0.00074,9.49073,15.98439,15.11024,8.74146
REM,0.00059,9.74049,16.85854,16.10927,10.86439
REM,0.00066,9.24098,16.4839,15.60976,7.24293
REM,0.00068,9.1161,16.4839,15.23512,5.99415
REM,0.0008,9.24098,15.85951,14.98537,8.86634
NREM,0.00117,8.74146,15.73463,14.73561,7.86732
REM,0.00087,8.61659,16.10927,14.73561,5.74439
REM,0.0009,9.36585,15.98439,14.86049,6.36878
REM,0.00087,8.61659,15.11024,14.2361,7.74244
REM,0.00066,8.86634,15.60976,14.61073,8.36683
NREM,0.00149,9.49073,18.2322,17.23317,7.49268
REM,0.00103,8.61659,14.61073,13.73659,7.86732
REM,0.00096,9.61561,14.48585,14.11122,10.61463
NREM,0.00089,8.99122,16.60878,15.85951,8.11707
NREM,0.00078,9.24098,14.73561,13.98634,7.61756
NREM,0.00121,9.36585,14.36098,13.61171,6.49366
NREM,0.0015,9.1161,14.36098,13.61171,9.99024
NREM,0.00082,9.1161,14.86049,14.2361,7.61756
NREM,0.00179,8.86634,16.35902,15.23512,7.74244
NREM,0.00084,9.1161,15.60976,14.61073,7.61756
NREM,0.00123,9.61561,14.48585,14.2361,10.86439
NREM,0.00098,8.36683,14.61073,13.61171,5.74439
NREM,0.00112,8.74146,15.23512,14.36098,7.49268
NREM,0.00099,9.36585,14.2361,13.86146,8.74146
NREM,0.00103,8.36683,14.73561,13.86146,6.74341
NREM,0.00087,8.61659,15.73463,14.98537,7.11805
NREM,0.00121,8.86634,13.86146,13.48683,6.99317
NREM,0.00083,8.86634,14.48585,13.61171,9.1161
NREM,0.00104,8.99122,14.11122,13.73659,7.61756
NREM,0.00112,8.86634,14.36098,13.61171,6.36878
NREM,0.00111,8.24195,13.86146,13.36195,6.86829
NREM,0.00102,8.49171,14.2361,13.73659,7.74244
NREM,0.00143,9.1161,13.98634,13.73659,8.24195
NREM,0.00127,8.74146,13.73659,12.98732,7.86732
NREM,0.00128,8.36683,13.86146,13.36195,7.3678
NREM,0.00146,9.24098,13.98634,13.73659,9.49073
NREM,0.00118,8.74146,14.61073,13.98634,7.49268
NREM,0.0012,9.86537,13.86146,13.61171,13.48683
NREM,0.00129,8.99122,13.98634,13.23707,10.48976
NREM,0.0022,9.36585,14.36098,13.36195,9.49073
NREM,0.00079,8.99122,14.36098,13.86146,13.1122
NREM,0.00188,9.49073,14.36098,13.98634,9.61561
NREM,0.0009,8.99122,16.10927,15.11024,8.11707
NREM,0.00123,9.24098,14.2361,13.86146,13.23707
NREM,0.00111,8.74146,14.2361,13.61171,6.86829
NREM,0.00212,9.1161,14.11122,13.61171,8.49171
NREM,0.00082,8.86634,15.48488,14.48585,8.11707
NREM,0.00132,9.1161,13.86146,13.48683,10.48976
NREM,0.00149,8.86634,13.98634,13.36195,8.24195
NREM,0.00155,8.49171,15.36,14.11122,8.11707
NREM,0.00117,8.36683,14.2361,13.48683,6.49366
NREM,0.00114,9.1161,14.11122,13.61171,7.24293
NREM,0.00128,8.11707,13.98634,13.61171,5.61951
NREM,0.00118,8.24195,13.61171,13.36195,6.86829
NREM,0.00095,8.24195,14.36098,13.86146,7.74244
NREM,0.00135,8.86634,13.73659,13.48683,7.24293
NREM,0.00085,9.49073,15.98439,15.23512,9.36585
NREM,0.00123,9.36585,15.36,14.61073,7.11805
NREM,0.00122,8.99122,14.48585,13.36195,9.24098
NREM,0.00112,8.99122,14.61073,14.11122,9.24098
NREM,0.00113,8.24195,14.2361,13.36195,7.61756
NREM,0.00188,9.49073,15.73463,14.73561,13.23707
NREM,0.00072,9.36585,16.60878,15.48488,10.24
NREM,0.00123,9.1161,16.60878,15.85951,7.61756
NREM,0.00107,9.61561,17.23317,16.35902,10.48976
NREM,0.00101,8.99122,17.10829,15.85951,7.9922
NREM,0.0007,9.74049,15.98439,15.36,10.61463
NREM,0.00075,9.49073,15.73463,15.23512,10.48976
NREM,0.00124,9.24098,15.36,14.61073,6.99317
NREM,0.00116,8.61659,16.35902,15.11024,7.3678
NREM,0.00079,8.99122,16.23415,15.36,7.49268
NREM,0.00072,8.99122,15.85951,14.61073,8.11707
NREM,0.00139,8.49171,14.2361,13.48683,9.36585
NREM,0.00108,9.1161,14.73561,13.86146,9.36585
NREM,0.00081,9.24098,15.11024,14.36098,10.98927
NREM,0.00102,9.36585,14.36098,13.98634,12.86244
NREM,0.00095,8.61659,15.11024,14.73561,7.49268
NREM,0.00166,9.61561,15.60976,14.48585,7.61756
NREM,0.00104,8.11707,15.11024,14.11122,7.61756
NREM,0.00088,9.49073,14.36098,13.86146,13.48683
NREM,0.00147,9.74049,13.36195,13.1122,12.98732
NREM,0.00126,8.86634,14.2361,13.23707,9.61561
NREM,0.00139,8.49171,14.36098,13.61171,7.86732
NREM,0.0014,8.49171,13.98634,13.48683,7.74244
NREM,0.00161,8.74146,13.86146,13.23707,7.9922
NREM,0.00101,8.36683,14.36098,13.61171,8.36683
NREM,0.00118,9.99024,15.85951,14.86049,10.36488
NREM,0.00157,9.36585,13.61171,13.36195,13.1122
NREM,0.00119,8.74146,13.86146,13.48683,6.61854
NREM,0.00194,9.49073,13.98634,13.73659,9.86537
NREM,0.00121,9.36585,14.61073,13.98634,9.61561
NREM,0.00145,8.24195,14.2361,13.23707,8.86634
NREM,0.00135,9.24098,13.73659,13.48683,9.61561
NREM,0.001,9.24098,14.11122,13.86146,8.11707
NREM,0.00163,8.99122,14.36098,13.23707,10.61463
NREM,0.0008,8.86634,14.36098,13.86146,13.73659
NREM,0.00106,9.74049,17.6078,16.98341,7.49268
NREM,0.00065,8.74146,14.98537,14.2361,8.61659
NREM,0.00173,9.24098,16.35902,15.48488,6.74341
NREM,0.00092,8.99122,15.48488,14.2361,7.49268
NREM,0.00091,8.86634,15.73463,14.73561,8.49171
NREM,0.00083,9.1161,16.10927,15.11024,9.36585
NREM,0.00122,7.61756,14.36098,13.61171,7.49268
NREM,0.00111,10.24,13.86146,13.61171,13.23707
NREM,0.00081,8.86634,15.23512,14.48585,8.61659
NREM,0.00093,8.74146,15.36,14.86049,7.86732
NREM,0.00138,9.74049,14.48585,13.98634,10.86439
NREM,0.00082,8.36683,15.36,14.61073,6.49366
NREM,0.00111,9.1161,14.48585,14.11122,8.24195
NREM,0.00149,9.61561,13.86146,13.61171,13.23707
NREM,0.00114,8.86634,14.11122,13.1122,11.61366
NREM,0.00088,8.86634,14.48585,13.86146,6.49366
NREM,0.00083,9.99024,14.73561,14.36098,11.11415
REM,0.00085,8.99122,14.98537,14.2361,6.74341
REM,0.00077,8.36683,15.48488,14.48585,7.86732
REM,0.00063,8.99122,16.35902,15.36,7.3678
REM,0.00067,9.24098,15.98439,14.86049,8.86634
REM,0.00147,10.24,15.98439,15.60976,10.48976
REM,0.00072,9.49073,17.48293,16.23415,7.49268
REM,0.00079,9.24098,15.48488,14.48585,8.99122
REM,0.00061,9.61561,16.23415,15.11024,9.86537
REM,0.00059,9.49073,16.35902,15.60976,7.24293
REM,0.00109,9.99024,17.98244,17.73268,8.99122
REM,0.00045,9.86537,17.10829,16.23415,7.11805
REM,0.00075,9.36585,15.48488,14.73561,12.73756
REM,0.00073,8.74146,16.4839,15.23512,5.24488
REM,0.00124,10.98927,21.35415,21.35415,9.86537
REM,0.0006,9.36585,16.4839,15.36,8.11707
REM,0.00071,9.86537,16.60878,15.85951,9.1161
REM,0.0009,10.24,16.73366,15.98439,11.48878
REM,0.00056,9.49073,16.23415,15.11024,9.24098
REM,0.00066,9.24098,17.10829,16.23415,7.49268
REM,0.00074,10.36488,17.85756,17.23317,10.98927
REM,0.00082,9.74049,17.10829,16.10927,12.11317
REM,0.00097,10.36488,16.73366,16.10927,10.98927
REM,0.00071,9.74049,16.73366,15.73463,10.86439
REM,0.00138,9.49073,16.85854,15.73463,8.36683
REM,0.00081,9.49073,16.35902,15.36,5.36976
REM,0.00073,9.36585,15.60976,14.86049,6.74341
REM,0.00089,9.99024,15.98439,15.23512,9.49073
REM,0.00082,9.1161,15.73463,14.61073,8.99122
REM,0.00072,10.11512,15.60976,14.86049,11.48878
REM,0.0008,9.36585,15.60976,14.61073,6.2439
REM,0.00078,9.74049,15.85951,15.11024,8.24195
REM,0.00086,10.61463,17.10829,16.35902,12.36293
REM,0.00055,9.99024,16.60878,15.73463,7.11805
REM,0.00047,9.86537,17.48293,16.85854,7.86732
REM,0.00067,9.36585,15.98439,15.36,9.36585
REM,0.00097,10.24,16.23415,15.98439,10.24
REM,0.00067,10.61463,16.73366,16.10927,9.49073
NREM,0.00076,10.36488,17.10829,16.60878,10.86439
REM,0.00068,10.24,16.10927,15.36,13.23707
REM,0.00075,9.49073,16.98341,15.73463,7.49268
REM,0.00088,9.86537,15.85951,15.23512,9.1161
REM,0.00066,9.36585,15.23512,14.48585,6.36878
REM,0.0008,8.99122,16.23415,14.98537,6.61854
REM,0.00073,9.74049,15.73463,14.73561,9.36585
REM,0.00083,10.24,16.35902,15.85951,11.61366
NREM,0.00096,9.99024,15.85951,15.23512,10.24
NREM,0.00072,9.74049,16.85854,15.85951,7.49268
NREM,0.00184,9.24098,13.98634,13.61171,9.99024
NREM,0.00076,9.1161,15.98439,15.23512,10.48976
NREM,0.0009,9.49073,15.11024,14.36098,7.61756
NREM,0.00104,9.74049,14.86049,14.2361,9.86537
NREM,0.00091,8.74146,14.61073,13.61171,8.86634
NREM,0.0009,9.1161,15.11024,14.48585,9.24098
NREM,0.00121,8.49171,14.48585,13.48683,10.61463
NREM,0.00116,8.74146,14.73561,14.11122,6.86829
NREM,0.00106,10.24,14.36098,14.11122,13.36195
NREM,0.00121,9.1161,14.86049,14.11122,9.99024
NREM,0.00112,8.86634,14.61073,13.61171,9.86537
NREM,0.0011,8.86634,14.2361,13.86146,8.99122
NREM,0.00121,9.49073,14.2361,13.98634,9.86537
NREM,0.00157,8.61659,14.11122,13.36195,8.36683
NREM,0.00091,8.99122,14.73561,13.73659,8.61659
NREM,0.00128,8.86634,14.2361,13.86146,7.3678
NREM,0.00136,8.86634,13.86146,13.23707,9.99024
NREM,0.00116,9.36585,14.48585,13.48683,9.99024
NREM,0.00152,9.24098,14.11122,13.23707,10.61463
NREM,0.00108,9.1161,14.36098,13.73659,10.24
NREM,0.00127,7.74244,13.98634,13.36195,5.86927
NREM,0.00134,8.86634,13.73659,13.48683,7.9922
NREM,0.00125,7.9922,14.11122,13.1122,7.3678
NREM,0.00105,8.99122,13.98634,13.48683,9.1161
NREM,0.00131,8.36683,13.86146,12.98732,8.24195
NREM,0.00135,7.9922,13.98634,13.36195,7.49268
NREM,0.00122,8.49171,13.73659,13.36195,8.36683
NREM,0.00129,8.24195,13.36195,12.36293,8.24195
NREM,0.00144,8.24195,13.73659,12.98732,8.36683
NREM,0.00156,8.49171,13.98634,13.36195,7.49268
NREM,0.00136,8.61659,13.36195,12.4878,7.24293
NREM,0.00146,8.49171,13.48683,13.1122,8.11707
NREM,0.00141,7.9922,13.36195,12.23805,7.3678
NREM,0.0012,8.24195,13.73659,12.98732,7.61756
NREM,0.00166,7.9922,13.48683,12.98732,5.36976
NREM,0.00127,7.9922,13.61171,13.1122,7.3678
NREM,0.00141,7.86732,13.73659,13.1122,5.49463
NREM,0.00123,8.36683,13.48683,12.73756,7.11805
NREM,0.00112,7.74244,13.61171,12.61268,7.61756
NREM,0.00133,8.49171,13.61171,13.1122,7.61756
NREM,0.00151,7.74244,13.48683,12.98732,6.99317
NREM,0.00128,9.36585,15.73463,14.48585,9.36585
NREM,0.00125,9.74049,16.35902,15.48488,10.48976
NREM,0.00125,9.1161,16.60878,15.73463,7.9922
NREM,0.00088,9.74049,15.85951,15.23512,8.86634
NREM,0.0009,8.86634,15.73463,14.98537,6.61854
NREM,0.00094,9.1161,14.98537,13.98634,6.86829
NREM,0.00147,8.74146,15.60976,14.61073,6.2439
NREM,0.00077,8.61659,14.98537,14.11122,8.24195
NREM,0.00112,8.36683,14.86049,14.2361,7.86732
NREM,0.00161,8.99122,15.36,14.48585,7.49268
NREM,0.00083,8.99122,14.98537,13.86146,7.86732
NREM,0.001,9.61561,16.10927,15.11024,8.36683
NREM,0.00082,8.86634,15.36,14.36098,7.11805
NREM,0.00095,8.61659,14.48585,13.86146,7.61756
NREM,0.00084,9.36585,15.11024,14.48585,7.3678
NREM,0.00107,8.74146,15.48488,14.2361,7.24293
NREM,0.00104,8.74146,14.2361,13.73659,8.86634
NREM,0.00157,9.36585,13.86146,13.48683,9.74049
NREM,0.00101,8.36683,14.48585,14.11122,7.9922
NREM,0.00103,8.24195,14.2361,13.48683,5.24488
NREM,0.0009,9.74049,14.48585,14.11122,10.98927
NREM,0.0009,8.99122,14.61073,13.86146,8.99122
NREM,0.00104,8.86634,14.36098,13.86146,8.99122
NREM,0.001,8.86634,14.48585,13.98634,9.1161
NREM,0.00181,8.49171,14.36098,13.73659,7.9922
NREM,0.00063,8.74146,14.98537,14.11122,8.49171
NREM,0.00148,9.74049,14.2361,13.73659,9.86537
NREM,0.00101,8.86634,13.98634,13.23707,8.74146
NREM,0.00118,8.86634,14.11122,13.61171,11.3639
NREM,0.00136,9.36585,14.61073,13.73659,7.11805
NREM,0.0016,11.73854,13.86146,13.61171,12.98732
NREM,0.00115,8.74146,13.73659,13.36195,7.86732
NREM,0.00157,9.1161,14.61073,14.11122,9.36585
NREM,0.00138,8.61659,14.61073,13.98634,7.3678
NREM,0.00098,9.49073,14.36098,13.98634,9.74049
NREM,0.00123,8.61659,14.11122,13.48683,9.1161
NREM,0.00108,8.49171,14.73561,13.98634,5.49463
NREM,0.00084,8.24195,14.98537,13.48683,7.9922
NREM,0.00135,8.74146,14.36098,13.98634,7.11805
NREM,0.00132,8.49171,14.2361,13.61171,8.61659
NREM,0.00097,8.36683,14.2361,13.73659,8.24195
NREM,0.00139,8.99122,13.86146,13.48683,7.61756
NREM,0.00092,7.86732,14.48585,13.23707,7.11805
NREM,0.0018,9.24098,14.86049,13.86146,9.49073
NREM,0.00084,8.36683,14.61073,13.98634,8.49171
NREM,0.00127,9.1161,14.11122,13.73659,8.36683
NREM,0.00113,8.11707,13.98634,12.98732,7.3678
NREM,0.00163,9.24098,14.11122,13.48683,10.24
NREM,0.00103,8.36683,14.2361,13.73659,8.49171
NREM,0.00098,8.86634,14.11122,13.48683,7.86732
NREM,0.00121,8.36683,14.2361,13.73659,8.11707
NREM,0.00107,8.74146,14.36098,13.86146,7.9922
NREM,0.00168,8.99122,14.36098,13.73659,8.49171
NREM,0.00075,8.24195,13.73659,12.4878,8.11707
NREM,0.00061,8.24195,14.36098,12.4878,8.36683
NREM,0.00038,7.74244,15.23512,13.61171,7.74244
NREM,0.00051,7.61756,14.98537,13.98634,7.74244
NREM,0.00039,7.86732,14.86049,13.61171,7.74244
NREM,0.00055,7.74244,15.23512,13.73659,6.74341
NREM,0.00087,7.9922,14.36098,13.36195,7.11805
NREM,0.00064,7.49268,13.86146,12.11317,6.49366
NREM,0.00032,7.74244,15.73463,13.98634,6.36878
NREM,0.00061,8.49171,14.61073,13.86146,7.74244
NREM,0.00039,7.86732,14.86049,13.1122,6.74341
NREM,0.00087,8.61659,14.11122,12.98732,9.74049
NREM,0.00057,7.24293,13.61171,11.61366,7.49268
NREM,0.00031,7.49268,16.35902,14.61073,6.61854
NREM,0.0004,7.74244,15.48488,14.2361,7.11805
NREM,0.00039,7.61756,16.4839,14.86049,5.74439
NREM,0.00047,7.86732,15.23512,13.73659,6.86829
NREM,0.0004,7.61756,15.85951,13.98634,6.61854
NREM,0.00073,8.99122,15.73463,14.61073,9.74049
NREM,0.00081,8.36683,14.11122,12.4878,8.49171
NREM,0.00039,6.99317,16.4839,14.2361,5.24488
NREM,0.00044,8.11707,15.98439,14.73561,5.61951
NREM,0.00044,7.86732,16.60878,14.98537,5.99415
NREM,0.00057,9.1161,16.98341,16.23415,8.61659
NREM,0.00036,7.86732,15.85951,14.86049,5.36976
NREM,0.00094,7.74244,19.23122,17.85756,6.74341
NREM,0.00127,10.24,22.35317,22.22829,4.24585
NREM,0.00049,8.36683,16.35902,15.11024,8.11707
NREM,0.00046,8.36683,15.85951,14.48585,8.74146
NREM,0.0004,8.11707,16.4839,15.36,5.86927
NREM,0.00056,7.74244,15.36,14.48585,7.49268
NREM,0.00345,12.98732,21.72878,22.22829,10.98927
NREM,0.00045,8.24195,15.73463,14.2361,7.86732
NREM,0.00066,9.61561,19.10634,18.60683,8.74146
NREM,0.00079,9.36585,16.98341,16.35902,9.86537
NREM,0.00044,7.74244,15.11024,13.48683,8.49171
NREM,0.00043,7.61756,16.4839,15.11024,7.61756
NREM,0.00097,7.9922,16.4839,14.73561,6.49366
NREM,0.00187,12.4878,19.98049,20.10537,14.48585
NREM,0.00061,8.74146,15.73463,14.86049,8.61659
NREM,0.00043,7.49268,15.98439,13.86146,7.61756
NREM,0.00037,8.36683,16.35902,14.98537,9.1161
NREM,0.00044,8.61659,16.23415,15.23512,8.61659
NREM,0.0004,8.99122,16.60878,15.98439,8.61659
NREM,0.00042,8.49171,16.35902,14.98537,6.49366
NREM,0.00054,7.49268,15.60976,14.36098,8.24195
NREM,0.00032,8.61659,16.60878,15.85951,6.86829
NREM,0.0004,7.9922,16.35902,14.98537,6.2439
NREM,0.00047,7.74244,15.48488,14.61073,5.61951
NREM,0.00036,8.11707,16.10927,14.98537,6.49366
NREM,0.00056,7.3678,15.36,13.48683,7.24293
NREM,0.00056,8.11707,15.11024,14.11122,6.2439
NREM,0.00044,8.61659,16.10927,14.73561,9.49073
NREM,0.00045,8.61659,15.36,14.2361,7.9922
NREM,0.00085,7.49268,14.73561,13.86146,6.74341
NREM,0.00104,7.61756,14.86049,13.98634,7.3678
NREM,0.00061,7.9922,14.86049,13.48683,5.12
NREM,0.00045,7.9922,15.60976,14.48585,8.11707
NREM,0.00054,8.24195,15.73463,14.86049,7.74244
NREM,0.00055,8.24195,15.11024,13.61171,5.99415
NREM,0.00075,7.61756,14.36098,13.73659,6.11902
NREM,0.00067,8.86634,17.35805,16.10927,9.1161
NREM,0.00046,8.49171,16.85854,15.98439,6.11902
NREM,0.00048,8.24195,15.60976,14.36098,8.49171
NREM,0.00064,8.24195,14.86049,14.11122,6.61854
NREM,0.00057,7.86732,14.73561,13.36195,7.3678
NREM,0.00069,7.86732,14.36098,13.86146,5.86927
NREM,0.00102,8.24195,16.98341,15.48488,6.61854
NREM,0.00109,9.1161,20.10537,19.60585,8.49171
NREM,0.00061,7.61756,15.23512,13.98634,9.61561
NREM,0.0008,7.49268,14.98537,13.86146,9.61561
NREM,0.00075,9.99024,19.85561,19.60585,8.49171
NREM,0.00057,7.86732,14.73561,13.48683,7.74244
NREM,0.00058,8.49171,14.2361,12.86244,8.36683
NREM,0.0005,8.11707,14.86049,13.48683,8.61659
NREM,0.00058,8.11707,13.98634,12.23805,7.86732
NREM,0.00057,8.36683,14.2361,12.61268,9.49073
NREM,0.00036,7.61756,15.73463,14.11122,6.36878
NREM,0.00031,7.11805,15.73463,13.86146,7.11805
NREM,0.0005,8.61659,16.23415,15.48488,8.74146
NREM,0.00104,9.24098,20.23024,19.73073,7.86732
NREM,0.00067,8.49171,15.98439,14.86049,7.9922
NREM,0.00038,8.24195,16.4839,14.36098,5.86927
NREM,0.0007,7.49268,14.86049,13.48683,5.24488
NREM,0.00046,7.86732,15.98439,14.86049,8.24195
NREM,0.00048,7.3678,15.73463,13.86146,6.36878
NREM,0.00042,6.99317,15.98439,14.61073,6.11902
NREM,0.00043,7.3678,15.60976,14.48585,5.86927
NREM,0.00029,8.11707,16.85854,15.60976,5.99415
NREM,0.00045,7.61756,15.98439,14.48585,5.74439
NREM,0.00039,7.61756,16.98341,15.23512,8.24195
NREM,0.00059,7.74244,16.4839,14.98537,7.74244
NREM,0.00041,7.74244,16.10927,14.86049,5.49463
NREM,0.00041,7.74244,15.98439,14.2361,8.24195
NREM,0.00046,7.74244,14.98537,13.48683,7.11805
NREM,0.00064,7.49268,15.85951,14.61073,7.11805
NREM,0.00062,7.61756,14.86049,13.73659,4.37073
NREM,0.00045,7.86732,14.86049,13.86146,9.61561
NREM,0.00071,7.74244,14.61073,13.36195,7.11805
NREM,0.00178,6.74341,17.48293,15.48488,3.12195
NREM,0.0008,7.86732,15.60976,14.61073,8.11707
NREM,0.00051,8.11707,16.60878,15.36,8.11707
NREM,0.00096,6.99317,14.98537,13.61171,6.36878
NREM,0.00039,8.36683,16.10927,15.11024,6.36878
NREM,0.00051,8.11707,15.36,13.86146,6.99317
NREM,0.0006,8.36683,15.73463,14.48585,9.61561
NREM,0.00074,7.24293,14.2361,13.73659,5.86927
NREM,0.00117,8.36683,14.2361,13.98634,3.37171
NREM,0.00045,7.9922,15.23512,13.98634,5.86927
NREM,0.0004,7.9922,16.4839,15.36,8.24195
NREM,0.00215,9.36585,19.60585,18.98146,8.49171
NREM,0.00076,9.99024,19.3561,19.10634,10.86439
NREM,0.00043,7.24293,15.85951,14.11122,5.49463
NREM,0.00051,7.86732,16.10927,14.86049,7.86732
NREM,0.00058,7.49268,14.98537,13.61171,5.74439
NREM,0.00046,7.86732,15.73463,14.73561,5.99415
NREM,0.00049,8.49171,15.48488,14.61073,9.61561
NREM,0.00054,6.86829,14.36098,12.86244,5.36976
NREM,0.00045,7.61756,15.85951,14.36098,4.99512
NREM,0.00056,7.74244,14.86049,13.61171,7.86732
NREM,0.00054,7.61756,15.60976,13.98634,5.49463
NREM,0.0005,7.3678,14.98537,13.61171,4.87024
NREM,0.00097,7.49268,14.73561,13.86146,6.49366
NREM,0.00047,8.11707,15.60976,14.11122,8.74146
NREM,0.00038,7.86732,16.35902,14.98537,5.86927
NREM,0.00066,8.11707,16.73366,15.73463,5.74439
NREM,0.00049,7.49268,15.98439,14.61073,7.24293
NREM,0.00048,7.9922,15.85951,14.2361,6.74341
NREM,0.00049,7.9922,16.10927,14.98537,7.3678
NREM,0.00058,7.9922,15.85951,15.11024,7.3678
NREM,0.00035,7.74244,16.23415,14.48585,5.36976
NREM,0.00047,7.74244,15.48488,14.2361,6.36878
NREM,0.00073,7.3678,14.61073,13.86146,6.99317
NREM,0.00091,6.74341,14.11122,12.23805,5.99415
NREM,0.00053,8.36683,15.11024,14.36098,4.99512
NREM,0.0009,6.99317,13.98634,13.61171,5.86927
NREM,0.002,6.36878,13.86146,13.36195,4.24585
NREM,0.00072,7.49268,14.2361,13.73659,6.2439
NREM,0.00094,7.24293,13.98634,13.48683,6.86829
NREM,0.00154,7.11805,13.36195,12.73756,6.74341
NREM,0.00158,7.9922,13.61171,13.23707,7.86732
NREM,0.00153,7.61756,13.23707,12.73756,6.49366
NREM,0.00142,7.3678,13.61171,12.98732,6.61854
NREM,0.00183,7.9922,13.36195,12.98732,5.49463
NREM,0.00371,9.36585,16.4839,15.98439,5.49463
NREM,0.0033,10.98927,22.60293,22.7278,10.86439
NREM,0.0007,7.74244,14.73561,14.11122,7.24293
NREM,0.00074,7.61756,14.36098,13.48683,5.24488
NREM,0.00113,7.86732,14.36098,13.48683,6.36878
NREM,0.00081,8.74146,15.73463,14.48585,8.86634
NREM,0.00068,7.3678,14.36098,13.86146,6.74341
NREM,0.00173,7.74244,13.48683,13.1122,5.36976
NREM,0.00128,7.3678,13.23707,12.86244,5.99415
NREM,0.00174,7.49268,13.61171,12.98732,6.36878
NREM,0.00228,7.61756,13.1122,12.61268,7.74244
NREM,0.00166,7.11805,12.98732,12.36293,7.3678
NREM,0.00247,7.11805,12.73756,11.73854,5.74439
NREM,0.00179,7.11805,12.98732,11.61366,6.36878
NREM,0.00197,7.24293,13.23707,12.61268,5.86927
NREM,0.00206,7.11805,12.73756,11.3639,6.86829
NREM,0.00232,6.2439,12.86244,11.48878,6.11902
NREM,0.00258,7.86732,16.85854,14.73561,5.36976
NREM,0.00136,8.24195,18.10732,16.85854,10.73951
NREM,0.00185,6.86829,11.61366,10.98927,6.99317
NREM,0.0013,7.11805,13.61171,11.86341,6.11902
NREM,0.00321,9.1161,19.48098,18.60683,9.1161
NREM,0.00127,7.24293,13.61171,13.36195,6.49366
NREM,0.00168,7.49268,13.48683,13.1122,6.49366
NREM,0.00184,6.99317,12.73756,11.48878,6.99317
NREM,0.00157,7.3678,13.23707,12.36293,5.86927
NREM,0.00169,6.99317,12.98732,12.36293,6.11902
NREM,0.00173,7.11805,12.86244,11.73854,6.36878
NREM,0.0017,6.74341,12.86244,11.73854,6.49366
