Sleep_Stage,MeanP_Theta_F4,MedianF_Theta_F4,MeanF_Theta_F4,Spectral Edge_Theta_F4,PeakF_Theta_F4
NREM,0.00057,5.74439,11.73854,9.99024,5.24488
NREM,0.00055,5.61951,11.48878,9.74049,4.37073
NREM,0.00059,5.36976,11.23902,9.74049,5.24488
NREM,0.00058,5.24488,11.48878,9.24098,5.24488
NREM,0.00058,5.36976,10.98927,9.1161,5.36976
NREM,0.00066,5.24488,11.23902,9.61561,5.36976
NREM,0.00075,5.24488,10.73951,9.49073,5.24488
NREM,0.0007,5.12,11.23902,9.61561,5.36976
NREM,0.00077,5.36976,10.73951,8.74146,5.36976
NREM,0.0007,4.87024,10.86439,8.99122,4.49561
NREM,0.00074,5.36976,10.86439,9.36585,5.49463
NREM,0.00083,5.24488,10.61463,9.1161,5.36976
NREM,0.00078,5.12,10.73951,8.99122,5.36976
NREM,0.00081,5.24488,10.61463,9.1161,5.36976
NREM,0.00087,4.99512,9.86537,8.11707,4.49561
NREM,0.00074,5.36976,11.11415,9.61561,5.36976
NREM,0.00089,4.37073,10.24,7.86732,2.74732
NREM,0.00079,4.99512,10.24,8.11707,6.2439
NREM,0.00085,4.74537,10.11512,8.49171,3.74634
NREM,0.0009,4.87024,10.61463,8.24195,4.49561
NREM,0.00077,5.24488,10.73951,8.74146,6.36878
NREM,0.00082,4.37073,10.61463,8.61659,2.74732
NREM,0.00081,4.49561,10.73951,8.74146,4.49561
NREM,0.0008,4.74537,10.24,8.61659,3.49659
NREM,0.00087,4.62049,10.11512,7.86732,5.49463
NREM,0.00094,4.12098,10.36488,7.61756,3.49659
NREM,0.00082,4.99512,10.36488,8.11707,5.36976
NREM,0.00082,4.62049,10.61463,8.36683,5.49463
NREM,0.00093,4.49561,9.86537,7.86732,4.62049
NREM,0.00101,4.74537,9.36585,7.61756,5.49463
NREM,0.00075,4.62049,10.24,7.9922,5.36976
NREM,0.00083,4.37073,10.36488,7.9922,5.49463
NREM,0.00101,4.62049,10.11512,7.9922,5.36976
NREM,0.00092,4.37073,10.24,7.86732,5.36976
NREM,0.00096,4.37073,9.86537,7.49268,5.36976
NREM,0.00093,4.49561,9.61561,7.61756,3.87122
NREM,0.00088,4.37073,10.36488,7.86732,4.49561
NREM,0.00093,3.9961,10.48976,7.49268,5.49463
NREM,0.00099,4.49561,9.61561,7.61756,4.49561
NREM,0.00118,4.24585,9.74049,7.3678,5.36976
NREM,0.00091,4.49561,9.99024,7.86732,2.99707
NREM,0.00095,4.37073,9.86537,7.86732,5.36976
NREM,0.00092,4.24585,9.86537,7.74244,2.62244
NREM,0.00102,4.24585,9.74049,7.24293,4.49561
NREM,0.00123,4.49561,9.24098,7.24293,5.36976
NREM,0.00088,4.37073,9.86537,7.74244,5.36976
NREM,0.00086,4.49561,9.99024,7.61756,5.36976
NREM,0.00088,3.74634,9.49073,7.3678,3.74634
NREM,0.00097,4.24585,9.61561,7.3678,4.37073
NREM,0.00081,4.37073,9.61561,7.74244,5.49463
NREM,0.00086,4.49561,9.74049,7.9922,2.62244
NREM,0.00089,4.24585,9.74049,7.86732,2.74732
NREM,0.00101,4.62049,9.49073,7.49268,3.62146
NREM,0.00082,4.62049,10.11512,7.49268,3.49659
NREM,0.00095,4.24585,9.86537,7.74244,3.74634
NREM,0.0009,4.12098,9.86537,7.3678,2.74732
NREM,0.00101,3.74634,9.49073,6.99317,5.36976
NREM,0.00098,4.24585,9.86537,7.24293,3.62146
NREM,0.00102,3.9961,9.24098,7.24293,3.62146
NREM,0.00096,4.49561,9.74049,7.3678,3.12195
NREM,0.0009,4.37073,9.74049,7.3678,5.36976
NREM,0.00084,4.62049,9.86537,7.74244,5.36976
NREM,0.00094,4.49561,9.99024,7.86732,6.2439
NREM,0.0009,4.12098,9.49073,7.3678,4.49561
NREM,0.00099,3.9961,9.61561,7.49268,3.49659
NREM,0.00102,3.9961,9.24098,7.49268,2.62244
NREM,0.0009,3.87122,9.86537,7.86732,3.62146
NREM,0.00074,4.49561,9.86537,7.86732,3.49659
NREM,0.00083,4.62049,9.61561,7.9922,5.61951
NREM,0.00112,5.36976,11.11415,9.61561,4.62049
NREM,0.00067,5.12,11.11415,9.1161,5.99415
NREM,0.00075,5.24488,10.36488,8.74146,4.62049
NREM,0.00094,5.24488,11.11415,9.49073,2.74732
NREM,0.00078,5.36976,11.11415,9.36585,5.36976
NREM,0.00062,4.99512,11.3639,9.49073,5.24488
NREM,0.00105,5.49463,10.73951,9.24098,3.74634
NREM,0.00098,4.49561,10.86439,8.36683,4.62049
NREM,0.00068,5.24488,10.73951,8.99122,4.49561
NREM,0.00074,5.24488,11.3639,8.99122,5.24488
NREM,0.00563,3.49659,9.24098,6.49366,3.12195
NREM,0.00094,5.61951,11.3639,9.49073,5.36976
NREM,0.00055,5.86927,11.73854,9.86537,5.36976
NREM,0.00063,5.99415,11.86341,9.86537,4.74537
NREM,0.00067,5.74439,11.86341,10.36488,4.49561
NREM,0.0007,5.36976,11.98829,10.11512,5.36976
NREM,0.00072,6.36878,12.11317,10.24,5.74439
NREM,0.0006,5.36976,11.48878,9.49073,5.36976
NREM,0.00059,5.49463,11.86341,9.99024,5.24488
NREM,0.00062,5.61951,11.73854,9.74049,5.61951
NREM,0.00073,5.49463,10.98927,9.24098,5.49463
NREM,0.00058,5.49463,11.98829,9.61561,4.62049
NREM,0.00061,5.49463,10.98927,9.24098,7.49268
NREM,0.00075,5.49463,11.48878,10.11512,5.49463
NREM,0.0006,5.49463,11.3639,9.36585,4.62049
NREM,0.00077,5.36976,11.73854,9.61561,4.87024
NREM,0.00068,5.49463,11.3639,9.61561,6.2439
NREM,0.00059,5.61951,11.61366,9.61561,4.49561
NREM,0.0006,5.86927,10.98927,9.24098,6.11902
NREM,0.00081,5.24488,10.73951,9.1161,5.36976
NREM,0.00066,5.12,11.23902,9.49073,4.74537
NREM,0.00072,5.36976,11.48878,9.49073,5.49463
NREM,0.00059,5.36976,11.11415,9.24098,2.62244
NREM,0.0008,5.61951,11.73854,10.24,4.49561
NREM,0.00076,5.24488,11.86341,9.49073,4.62049
NREM,0.00469,3.9961,10.61463,7.24293,1.49854
NREM,0.00056,6.61854,11.73854,10.48976,5.61951
NREM,0.00057,5.74439,11.11415,9.61561,5.74439
NREM,0.00063,5.86927,11.23902,9.99024,5.49463
NREM,0.00058,6.2439,10.98927,9.49073,6.49366
NREM,0.01099,3.37171,9.36585,6.49366,3.37171
NREM,0.00057,6.11902,11.3639,9.86537,4.49561
NREM,0.0007,5.49463,11.11415,10.11512,5.49463
NREM,0.00081,5.74439,10.73951,8.99122,5.49463
NREM,0.00066,5.74439,10.98927,9.1161,2.74732
NREM,0.00055,5.36976,10.98927,8.99122,5.49463
NREM,0.0005,5.36976,10.98927,8.86634,5.36976
NREM,0.00067,5.24488,10.73951,9.1161,5.36976
NREM,0.00042,5.24488,10.73951,8.86634,5.36976
NREM,0.0006,4.87024,10.98927,9.24098,3.49659
NREM,0.0006,5.24488,10.48976,8.86634,5.24488
NREM,0.00064,5.12,11.11415,9.61561,4.74537
NREM,0.00068,5.12,11.11415,9.61561,4.74537
NREM,0.00064,5.24488,11.11415,8.99122,4.62049
NREM,0.00059,5.36976,10.86439,8.86634,5.36976
NREM,0.00069,5.12,10.86439,9.24098,5.49463
NREM,0.00062,5.24488,11.3639,9.24098,4.74537
NREM,0.00061,5.36976,11.3639,9.74049,5.36976
NREM,0.00052,5.49463,10.61463,8.86634,5.24488
NREM,0.00053,5.12,11.23902,8.86634,5.49463
NREM,0.00067,5.24488,11.11415,9.24098,6.2439
NREM,0.0015,4.49561,10.48976,8.49171,2.8722
NREM,0.00056,5.36976,10.98927,8.99122,5.36976
NREM,0.00057,5.36976,10.98927,9.24098,5.49463
NREM,0.00085,5.24488,11.3639,9.36585,3.74634
NREM,0.00057,5.12,10.98927,9.1161,2.62244
NREM,0.00063,4.87024,10.98927,9.1161,4.37073
NREM,0.00058,5.49463,10.98927,9.61561,4.49561
NREM,0.00068,5.12,11.11415,9.61561,5.12
NREM,0.00059,5.61951,10.48976,9.1161,5.36976
NREM,0.00091,4.49561,10.36488,8.24195,3.12195
NREM,0.0006,5.24488,10.24,8.61659,6.11902
NREM,0.0006,4.99512,10.61463,8.74146,4.37073
NREM,0.0007,5.36976,10.73951,8.86634,5.36976
NREM,0.00068,4.87024,9.61561,8.49171,5.36976
NREM,0.00087,4.62049,10.11512,7.9922,3.49659
NREM,0.00061,5.24488,10.73951,8.74146,4.49561
NREM,0.00063,5.36976,10.61463,8.99122,6.2439
NREM,0.00077,4.99512,10.24,8.11707,5.36976
NREM,0.00062,4.87024,10.36488,8.74146,3.49659
NREM,0.0008,4.87024,9.86537,8.11707,4.74537
NREM,0.00087,4.74537,10.11512,8.24195,4.24585
NREM,0.00087,4.62049,10.11512,8.49171,4.12098
NREM,0.0007,5.36976,10.86439,8.86634,5.49463
NREM,0.00109,5.24488,10.48976,8.61659,5.36976
NREM,0.0011,4.37073,10.24,8.11707,5.36976
NREM,0.00104,4.49561,10.73951,8.99122,3.62146
NREM,0.00069,5.24488,10.86439,9.49073,4.74537
NREM,0.00066,5.24488,11.23902,8.99122,4.99512
NREM,0.00063,5.61951,11.23902,9.74049,5.61951
NREM,0.00063,5.49463,11.3639,9.99024,4.87024
NREM,0.0006,5.36976,11.11415,9.49073,4.62049
REM,0.00053,5.61951,10.86439,8.99122,4.62049
REM,0.00066,5.61951,10.73951,8.99122,5.49463
REM,0.00049,5.49463,11.48878,10.24,5.49463
REM,0.00052,5.36976,11.3639,9.99024,5.61951
REM,0.00049,4.99512,11.11415,9.86537,4.74537
REM,0.00049,5.61951,10.86439,9.49073,5.74439
REM,0.00053,5.49463,10.48976,9.1161,4.87024
REM,0.0017,2.99707,10.11512,7.24293,2.12293
REM,0.00062,5.49463,11.3639,9.24098,4.99512
REM,0.00074,5.74439,10.48976,9.1161,5.61951
REM,0.00045,5.12,10.98927,8.74146,4.99512
REM,0.00045,5.12,10.61463,8.49171,5.99415
REM,0.00042,5.12,10.61463,7.9922,5.24488
REM,0.00047,5.49463,11.48878,9.49073,5.49463
REM,0.00045,5.36976,10.98927,8.86634,5.49463
REM,0.00056,5.36976,10.73951,8.86634,4.49561
REM,0.00051,5.61951,11.61366,8.99122,4.74537
REM,0.00058,5.61951,11.11415,8.99122,6.36878
REM,0.00044,5.49463,11.11415,8.86634,5.36976
REM,0.00042,5.36976,10.86439,8.61659,6.11902
REM,0.00044,5.36976,11.11415,8.24195,5.49463
REM,0.0005,5.61951,11.48878,9.36585,5.61951
REM,0.00047,5.49463,10.73951,8.74146,6.11902
REM,0.0005,5.24488,11.23902,8.61659,5.24488
REM,0.00049,5.36976,10.61463,8.74146,5.49463
REM,0.00043,5.36976,11.48878,8.74146,4.49561
REM,0.00046,5.36976,11.23902,8.86634,6.36878
REM,0.00047,5.36976,10.73951,8.61659,5.61951
REM,0.00052,5.36976,10.11512,7.74244,5.61951
REM,0.00048,5.24488,10.36488,8.24195,5.49463
REM,0.00179,3.49659,11.3639,8.61659,1.24878
NREM,0.0005,5.99415,11.23902,9.86537,5.86927
NREM,0.00051,6.74341,10.98927,9.86537,4.74537
NREM,0.0005,6.2439,11.61366,10.24,5.61951
NREM,0.00049,6.61854,10.73951,9.86537,5.49463
NREM,0.00033,6.2439,11.98829,10.24,5.49463
NREM,0.00059,6.61854,11.11415,9.86537,5.61951
NREM,0.00063,5.99415,10.73951,9.1161,5.49463
NREM,0.00049,6.11902,10.98927,9.24098,5.61951
NREM,0.00066,5.86927,11.48878,10.24,6.49366
NREM,0.00047,5.86927,10.98927,9.1161,5.36976
NREM,0.00045,5.86927,11.3639,9.74049,6.2439
NREM,0.00057,5.61951,10.61463,9.1161,4.49561
NREM,0.0006,5.12,11.3639,9.1161,4.49561
NREM,0.00056,5.24488,10.48976,8.74146,5.36976
NREM,0.00043,5.24488,10.73951,9.24098,5.24488
NREM,0.00055,5.24488,10.48976,9.36585,6.2439
NREM,0.00056,4.74537,10.36488,8.74146,2.62244
NREM,0.00062,4.87024,10.48976,8.61659,3.62146
NREM,0.0005,5.36976,10.98927,9.24098,5.36976
NREM,0.0005,5.61951,10.86439,9.1161,4.49561
NREM,0.00051,5.24488,10.86439,9.1161,5.36976
NREM,0.00066,5.36976,10.73951,8.99122,5.24488
NREM,0.00058,5.36976,10.36488,8.74146,5.36976
NREM,0.00053,5.36976,11.11415,9.99024,5.36976
NREM,0.00054,5.24488,11.11415,9.36585,5.36976
NREM,0.0006,4.99512,10.73951,8.99122,5.36976
NREM,0.00068,4.99512,10.36488,8.74146,4.49561
NREM,0.00062,4.99512,10.48976,8.74146,5.24488
NREM,0.00058,5.12,10.48976,8.61659,5.49463
NREM,0.00069,5.24488,10.36488,8.99122,4.37073
NREM,0.00055,5.49463,10.98927,8.99122,6.36878
NREM,0.00065,5.24488,9.74049,8.36683,4.49561
NREM,0.00079,5.24488,10.36488,8.61659,5.36976
NREM,0.00067,5.12,10.36488,8.24195,5.36976
NREM,0.00066,4.99512,9.86537,7.9922,5.36976
NREM,0.00068,4.62049,10.36488,8.24195,5.36976
NREM,0.00072,4.37073,9.86537,7.86732,4.37073
NREM,0.00058,4.62049,9.86537,7.9922,3.62146
NREM,0.00065,4.74537,9.61561,7.86732,5.24488
NREM,0.00069,4.87024,9.74049,7.86732,5.24488
NREM,0.00078,4.74537,10.11512,8.11707,4.37073
NREM,0.00067,4.99512,10.48976,8.36683,6.2439
NREM,0.00063,4.74537,9.99024,8.11707,3.49659
NREM,0.00073,4.49561,9.36585,7.3678,3.12195
NREM,0.00081,4.62049,9.49073,7.24293,5.24488
NREM,0.00084,4.62049,9.99024,7.86732,2.62244
NREM,0.00067,4.62049,9.61561,7.74244,5.24488
NREM,0.00076,4.49561,9.1161,7.24293,5.24488
NREM,0.00073,4.49561,9.61561,7.61756,3.49659
NREM,0.00071,3.87122,9.24098,7.49268,2.74732
NREM,0.00076,4.37073,9.74049,7.86732,4.37073
NREM,0.00083,4.24585,9.61561,7.11805,5.24488
NREM,0.00078,4.24585,9.36585,7.11805,2.8722
NREM,0.0007,4.24585,9.36585,7.11805,3.49659
NREM,0.0008,4.12098,8.99122,7.49268,5.12
NREM,0.00085,4.37073,9.49073,7.61756,5.24488
NREM,0.0009,4.37073,9.1161,6.99317,5.24488
NREM,0.00089,4.12098,9.24098,6.99317,3.49659
NREM,0.00078,4.74537,9.1161,7.11805,5.24488
NREM,0.00077,4.37073,9.49073,7.3678,5.24488
NREM,0.00092,3.9961,9.24098,7.24293,3.37171
NREM,0.00079,4.24585,8.86634,7.11805,5.24488
NREM,0.00073,4.37073,8.74146,7.11805,4.49561
NREM,0.001,3.87122,8.86634,6.86829,3.49659
NREM,0.00071,4.12098,9.61561,7.49268,2.62244
NREM,0.00071,4.62049,9.1161,7.24293,5.24488
NREM,0.00082,4.37073,9.49073,7.74244,3.24683
NREM,0.00068,4.37073,9.49073,7.74244,3.37171
NREM,0.00061,4.62049,9.1161,7.49268,5.24488
NREM,0.00083,4.49561,9.24098,7.49268,4.49561
NREM,0.00088,4.37073,8.86634,6.99317,3.49659
NREM,0.00258,3.24683,10.98927,8.61659,0.99902
NREM,0.00059,5.49463,10.61463,8.99122,5.24488
NREM,0.00069,5.36976,10.11512,8.36683,5.36976
NREM,0.00104,5.36976,11.23902,9.74049,3.74634
NREM,0.00083,5.36976,11.11415,8.99122,5.49463
NREM,0.00065,5.49463,10.11512,8.61659,5.49463
NREM,0.00067,5.49463,10.48976,8.49171,5.61951
NREM,0.00075,5.74439,11.61366,9.99024,4.74537
NREM,0.00062,5.24488,10.24,8.11707,5.49463
NREM,0.00087,5.24488,10.98927,9.1161,5.49463
NREM,0.00072,5.49463,10.86439,9.24098,5.49463
NREM,0.00064,5.36976,10.98927,8.86634,6.11902
NREM,0.0006,5.36976,10.48976,8.99122,5.36976
NREM,0.00069,5.36976,10.61463,9.1161,6.49366
NREM,0.00065,5.24488,10.36488,8.11707,5.36976
NREM,0.0009,5.12,11.11415,9.49073,5.36976
NREM,0.0007,5.24488,10.24,8.49171,5.36976
NREM,0.00085,5.49463,10.48976,8.74146,5.61951
NREM,0.00323,2.62244,10.61463,6.74341,1.87317
NREM,0.00062,5.12,11.23902,9.74049,5.24488
NREM,0.00054,5.99415,11.48878,10.24,5.24488
NREM,0.00054,5.36976,11.11415,9.61561,5.24488
NREM,0.00065,5.36976,11.48878,9.49073,5.24488
NREM,0.00045,5.24488,11.11415,9.36585,5.24488
NREM,0.00069,5.24488,10.73951,8.61659,4.37073
NREM,0.00075,5.12,11.48878,9.24098,5.12
NREM,0.00055,5.99415,11.3639,10.36488,5.99415
NREM,0.00047,5.12,10.61463,8.99122,4.37073
NREM,0.00047,5.12,10.98927,8.74146,3.49659
NREM,0.00064,5.49463,11.3639,9.74049,6.11902
NREM,0.00048,5.12,10.36488,8.11707,5.12
NREM,0.00057,5.49463,11.11415,9.61561,5.99415
NREM,0.00086,4.24585,11.61366,9.24098,3.24683
NREM,0.00057,5.74439,11.73854,10.11512,5.99415
NREM,0.00055,5.36976,10.36488,8.61659,6.2439
NREM,0.00058,4.74537,11.73854,9.1161,4.62049
NREM,0.0023,3.37171,10.61463,7.86732,3.62146
NREM,0.00048,6.2439,11.73854,10.24,6.36878
NREM,0.00051,5.99415,11.86341,10.24,5.61951
NREM,0.0004,5.49463,11.11415,9.61561,5.49463
NREM,0.00038,5.36976,11.23902,9.74049,4.62049
NREM,0.00044,5.24488,10.98927,9.1161,6.2439
NREM,0.00073,4.62049,10.61463,8.36683,3.62146
NREM,0.00061,5.24488,10.36488,8.99122,5.24488
NREM,0.00045,5.36976,10.98927,9.36585,5.36976
NREM,0.00039,5.24488,10.48976,8.99122,3.62146
NREM,0.00052,5.24488,10.86439,8.61659,4.49561
NREM,0.0006,5.24488,10.73951,9.1161,5.24488
NREM,0.00061,5.24488,10.48976,8.86634,5.36976
NREM,0.00062,5.12,9.99024,8.49171,6.11902
NREM,0.0006,5.36976,10.61463,9.36585,6.36878
NREM,0.00053,5.24488,10.48976,8.86634,6.2439
NREM,0.00073,5.12,10.11512,8.36683,5.36976
NREM,0.0006,5.24488,10.61463,8.61659,6.2439
NREM,0.00054,5.36976,10.11512,8.36683,5.36976
NREM,0.00088,4.49561,10.24,7.9922,4.49561
NREM,0.00063,4.49561,9.86537,8.36683,5.49463
NREM,0.00064,5.49463,10.73951,8.74146,6.36878
NREM,0.0006,5.36976,10.11512,8.36683,5.49463
NREM,0.00075,4.74537,9.61561,8.11707,5.49463
NREM,0.0021,2.2478,11.3639,9.24098,0.62439
NREM,0.00049,6.49366,11.98829,10.86439,5.74439
NREM,0.0005,7.11805,11.3639,10.73951,5.74439
NREM,0.00047,6.61854,12.4878,10.48976,5.49463
NREM,0.00051,6.2439,12.4878,10.73951,5.61951
NREM,0.00054,6.2439,11.11415,10.11512,4.62049
NREM,0.00057,6.11902,11.61366,10.61463,5.61951
NREM,0.00049,6.86829,10.98927,10.11512,4.87024
NREM,0.00057,7.24293,11.23902,10.73951,5.12
NREM,0.0004,6.49366,11.98829,10.61463,5.74439
NREM,0.00036,6.61854,11.86341,10.48976,5.61951
NREM,0.00041,6.61854,11.61366,10.36488,4.87024
NREM,0.00047,6.49366,12.36293,10.86439,5.86927
NREM,0.00049,6.49366,12.23805,10.73951,5.61951
NREM,0.00039,6.2439,12.36293,10.61463,4.74537
NREM,0.00038,6.49366,12.36293,10.61463,5.74439
NREM,0.00037,5.74439,12.11317,10.36488,4.74537
NREM,0.00036,5.61951,11.98829,9.99024,5.49463
NREM,0.00041,6.49366,11.86341,10.24,6.61854
NREM,0.00032,5.74439,12.11317,10.24,4.62049
NREM,0.00041,5.61951,11.73854,9.86537,5.74439
NREM,0.00038,5.61951,12.23805,10.11512,4.62049
NREM,0.00053,5.74439,11.73854,9.86537,4.62049
NREM,0.00056,5.36976,11.61366,9.61561,5.49463
NREM,0.00049,5.49463,11.86341,10.11512,3.62146
NREM,0.0005,6.2439,11.73854,9.99024,6.36878
NREM,0.00049,5.49463,11.11415,9.49073,5.49463
NREM,0.00055,5.49463,11.61366,9.99024,5.61951
NREM,0.00046,5.49463,11.86341,10.11512,5.49463
NREM,0.00057,5.49463,11.86341,9.86537,5.49463
NREM,0.00051,5.36976,11.3639,9.49073,5.49463
NREM,0.00056,5.36976,10.86439,8.99122,5.36976
NREM,0.00053,5.49463,10.98927,9.36585,5.49463
NREM,0.00065,5.36976,12.23805,10.86439,3.62146
NREM,0.0014,4.49561,12.73756,9.99024,4.37073
NREM,0.00056,5.99415,11.73854,10.61463,5.99415
NREM,0.00035,5.74439,12.11317,10.48976,5.74439
NREM,0.00047,6.74341,11.73854,10.86439,6.36878
NREM,0.00033,5.86927,12.23805,10.36488,4.87024
NREM,0.00064,7.61756,11.3639,10.73951,9.86537
NREM,0.00035,6.49366,11.61366,10.48976,5.74439
NREM,0.00036,6.49366,11.48878,10.24,5.61951
NREM,0.00049,6.99317,11.3639,10.24,5.74439
NREM,0.0005,6.36878,11.48878,10.73951,5.61951
NREM,0.00034,6.2439,11.3639,9.99024,5.49463
NREM,0.00037,6.36878,11.61366,10.24,5.49463
NREM,0.00039,5.49463,11.48878,9.74049,5.49463
NREM,0.00045,5.61951,11.61366,9.74049,4.62049
NREM,0.00046,4.99512,10.86439,8.86634,5.49463
NREM,0.00051,5.49463,11.11415,9.36585,5.61951
NREM,0.00051,4.74537,10.73951,8.36683,2.8722
NREM,0.00059,5.24488,11.3639,9.36585,5.49463
NREM,0.00041,5.36976,11.98829,10.11512,2.74732
NREM,0.0004,5.86927,11.86341,9.74049,5.49463
NREM,0.00036,5.61951,11.73854,10.48976,5.49463
NREM,0.00042,5.61951,11.98829,10.24,5.49463
NREM,0.00051,5.12,11.23902,9.1161,4.62049
NREM,0.00046,5.49463,11.11415,9.24098,5.36976
NREM,0.0005,4.74537,10.86439,9.1161,2.74732
NREM,0.00044,5.24488,10.73951,9.61561,5.24488
NREM,0.00051,5.24488,11.3639,9.74049,5.24488
NREM,0.00056,5.24488,11.61366,9.1161,4.62049
NREM,0.00049,5.61951,11.11415,9.99024,5.49463
NREM,0.00052,4.87024,10.73951,8.74146,5.49463
NREM,0.00049,5.49463,10.98927,9.1161,5.49463
NREM,0.00061,5.36976,10.36488,8.74146,5.49463
NREM,0.00072,4.87024,10.36488,8.24195,3.62146
NREM,0.00071,5.12,10.48976,8.99122,4.49561
NREM,0.00087,4.49561,9.61561,7.86732,5.49463
NREM,0.00088,4.49561,10.73951,8.74146,5.49463
NREM,0.00068,5.12,11.48878,9.36585,4.12098
NREM,0.00053,4.99512,11.86341,9.24098,4.74537
REM,0.00034,5.74439,11.86341,9.49073,5.61951
REM,0.00031,5.49463,11.98829,9.99024,5.49463
REM,0.00033,5.49463,11.23902,8.99122,5.86927
REM,0.00036,5.61951,11.73854,9.24098,4.87024
REM,0.00036,6.2439,12.23805,10.48976,6.61854
REM,0.00039,5.99415,11.48878,9.99024,6.36878
REM,0.00044,5.24488,10.48976,8.36683,4.49561
REM,0.00035,5.49463,11.73854,9.74049,5.49463
REM,0.00034,5.49463,11.73854,9.74049,5.49463
NREM,0.00186,3.24683,13.48683,9.61561,1.87317
NREM,0.00045,6.2439,11.11415,9.1161,6.61854
NREM,0.00051,6.36878,11.3639,10.24,5.99415
NREM,0.00038,5.12,10.98927,8.61659,4.99512
NREM,0.00034,5.24488,11.23902,8.74146,5.36976
REM,0.00043,4.99512,10.98927,8.36683,4.74537
REM,0.00037,5.24488,11.3639,8.99122,6.2439
REM,0.00035,5.36976,11.61366,9.36585,5.24488
REM,0.00038,5.24488,11.23902,8.74146,5.99415
REM,0.00037,5.49463,11.3639,9.1161,5.74439
REM,0.00044,5.99415,11.48878,9.61561,6.11902
REM,0.00045,5.49463,11.3639,9.1161,5.61951
NREM,0.00046,5.61951,12.11317,10.24,4.99512
REM,0.00041,5.61951,11.86341,9.99024,5.36976
REM,0.00045,5.36976,11.61366,8.86634,5.49463
REM,0.00037,5.24488,12.11317,9.61561,3.49659
REM,0.00035,5.74439,12.61268,10.61463,5.61951
REM,0.00039,5.74439,11.86341,9.61561,5.49463
REM,0.00038,5.24488,11.73854,9.36585,5.36976
REM,0.0005,5.12,10.61463,8.49171,4.24585
NREM,0.00063,6.86829,13.48683,11.73854,7.24293
NREM,0.00031,5.49463,12.36293,10.48976,5.12
NREM,0.00053,6.11902,11.86341,10.61463,6.2439
NREM,0.0004,6.61854,12.23805,10.48976,6.11902
NREM,0.0004,5.74439,12.11317,9.99024,6.2439
NREM,0.00049,5.36976,12.11317,10.24,5.36976
NREM,0.00043,5.61951,11.98829,10.36488,5.36976
NREM,0.00051,5.36976,11.73854,9.86537,5.36976
NREM,0.00045,5.12,12.11317,9.74049,5.24488
NREM,0.00043,5.49463,11.23902,9.74049,5.61951
NREM,0.00048,5.99415,11.73854,9.99024,6.2439
NREM,0.00052,5.24488,11.23902,9.86537,4.49561
NREM,0.00039,5.49463,12.23805,9.99024,4.37073
NREM,0.00041,5.49463,11.98829,9.86537,4.99512
NREM,0.00045,5.49463,11.98829,10.24,4.62049
NREM,0.00085,5.24488,11.98829,9.99024,9.24098
NREM,0.00051,6.99317,11.86341,10.86439,5.99415
NREM,0.00038,6.74341,11.98829,10.98927,5.74439
NREM,0.00052,6.11902,11.86341,10.61463,5.86927
NREM,0.00055,6.49366,11.23902,10.24,5.24488
NREM,0.00054,6.74341,11.48878,10.36488,5.61951
NREM,0.00047,6.74341,11.73854,10.61463,5.86927
NREM,0.00046,6.99317,11.86341,10.86439,6.74341
NREM,0.00038,6.49366,12.23805,10.61463,4.74537
NREM,0.00039,5.74439,12.23805,10.24,5.74439
NREM,0.00037,6.2439,11.86341,10.61463,5.61951
NREM,0.00035,5.61951,11.98829,10.11512,5.61951
NREM,0.00043,5.86927,12.11317,10.48976,5.61951
NREM,0.00046,6.49366,11.98829,10.61463,5.61951
NREM,0.00037,5.74439,11.86341,10.36488,5.61951
NREM,0.00041,5.61951,11.86341,9.99024,5.61951
NREM,0.00038,5.49463,11.98829,9.86537,5.49463
NREM,0.00048,5.36976,11.48878,9.49073,5.49463
NREM,0.00054,5.36976,11.11415,8.99122,5.36976
NREM,0.00052,5.49463,11.48878,9.36585,5.49463
NREM,0.00052,5.36976,11.61366,9.1161,5.36976
NREM,0.00048,5.49463,11.23902,9.61561,4.49561
NREM,0.00052,5.36976,11.73854,9.61561,5.36976
NREM,0.00581,3.74634,9.24098,6.49366,1.74829
NREM,0.00029,5.74439,12.11317,9.99024,5.74439
NREM,0.00028,5.49463,12.4878,10.36488,5.49463
NREM,0.00049,7.3678,11.48878,10.61463,5.61951
NREM,0.00038,5.86927,11.98829,10.24,5.61951
NREM,0.00042,6.2439,11.61366,10.24,5.49463
NREM,0.00037,5.74439,12.23805,10.36488,5.49463
NREM,0.00032,5.49463,12.36293,10.11512,5.36976
NREM,0.00036,5.61951,11.98829,10.36488,5.49463
NREM,0.00043,5.49463,12.11317,10.24,5.49463
NREM,0.00044,5.24488,11.86341,9.99024,4.49561
NREM,0.00056,5.74439,11.23902,9.86537,6.11902
NREM,0.00047,5.61951,12.23805,9.99024,5.36976
NREM,0.00059,5.74439,11.86341,10.36488,5.24488
NREM,0.0005,5.74439,11.48878,9.36585,6.11902
NREM,0.00044,5.61951,11.48878,9.61561,5.12
NREM,0.00054,5.36976,12.4878,9.99024,5.24488
NREM,0.00066,5.36976,11.48878,9.74049,2.74732
NREM,0.00056,5.36976,10.86439,9.61561,4.62049
NREM,0.00067,5.24488,10.86439,9.36585,5.36976
NREM,0.00062,5.12,11.61366,9.74049,5.12
NREM,0.00059,5.24488,10.98927,8.74146,5.24488
